"My Reward Points","나의 보상 포인트"
"To unsubscribe from points expiring notification click %1","통지가 만료 된 지점의 가입을 취소하려면 %1을 클릭하십시오."
"You have <b>%1</b> in your account.","계정에 <b>%1</b> 이 (가) 있습니다."
"Transactions History","거래 내역"
ID,신분증
Comment,논평
Points,전철기
Created,만들어진
Expires,만료
"There are no Transactions.","거래가 없습니다."
"Pending Transactions","보류중인 거래"
Order,주문
Status,지위
"Your points balance will expire in %1 days.","포인트 잔액은 __1 일 후에 만료됩니다."
"Visit My Reward Points Section","나의 보상 포인트 방문하기 섹션"
"Login to earn %1 for sharing!","공유를 위해 %1을 (를) 얻기 위해 로그인하십시오!"
"Earn %1 for sharing!","공유하기 위해 %1을 (를) 얻으십시오!"
"Like this page and earn %1","이 페이지와 마찬가지로 %1을 (를) 벌 수 있습니다."
Share,몫
"Share this page and earn %1","이 페이지를 공유하고 %1을 (를) 얻으십시오."
"Plus this page and earn %1","플러스이 페이지와 %1를 벌어 라."
"Pin this page and earn %1","이 페이지 고정 및 %1 벌기"
"Refer Friends","친구 추천"
"Refer friend and earn %1. More friends more points!","친구를 추천하고 %1을 번다. 친구가 더 많은 포인트!"
Tweet,짹짹
"Tweet this page and earn %1","이 페이지를 트윗하고 %1을 벌어 라."
"Check this out!","이것 좀 봐!"
"You have <b>%1</b> available.","<b>%1을 (를)</b> 사용할 수 있습니다."
"Enter amount of points to spend:","지출 할 포인트 금액 입력 :"
"Use maximum %1","최대 %1 사용"
"Apply Points","포인트 적용"
Apply,대다
"Cancel Points","포인트 취소"
Cancel,취소
"Use %1","%1 사용"
"You Earn","당신이 획득 했어요"
"You Spend","너는 쓴다"
"Discount amount","할인 량"
"Use Reward Points","보상 포인트 사용"
"This is a required field","이것은 필수 입력란입니다."
"Subscription to Points Expiration Notification","포인트 만료 알림 구독"
"Earning %1","적립 %1"
"Buy to earn %1","%1을 (를) 얻기 위해 구입하십시오."
"You'll earn %1 for this item","이 항목에 대해 %1을 (를) 얻게됩니다."
"Share with Friends","친구와 공유"
"Share the referral link in the social media and get points!","소셜 미디어에서 추천 링크를 공유하고 점수를 얻으십시오!"
"Tweet on Twitter","트위터에 트위터"
"Your referral link:","귀하의 추천 링크 :"
"Send Invitations","초대장 보내기"
"Enter contacts of your friends to invite them.","친구의 연락처를 입력하여 초대하십시오."
Name,이름
Message,메시지
Referrals,추천
"Referred by link","링크로 추천"
"There are no Referrals","추천은 없습니다."
"You have",너는있어.
available.,유효한.
"Use maximum","최대 사용"
"Enter amount of points to spend","지출 할 포인트 금액 입력"
Use,용도
"Notification Rules' messages","알림 규칙의 메시지"
Template,주형
"Notification Rule Template","알림 규칙 템플릿"
"My Referrals","내 추천"
"Referrals List","추천 목록"
today,오늘
ago,...전에
"Cannot delete transaction with id %1","%1 ID의 트랜잭션을 삭제할 수 없습니다."
"Expires in",만료
"How to earn","적립 방법"
"Spend points and receive discounts","포인트를주고 할인을 받는다."
"Total number of referred friends: %1","추천 된 친구의 총 수 : %1"
"Or you may send this link in your messages to anyone","또는 귀하의 메시지에 누구에게나이 링크를 보낼 수 있습니다."
"Your Transactions","귀하의 거래"
"My Points","내 포인트"
"Share & Save","공유 및 저장"
History,역사
"in %1 %2","in %1 %2"
"in %1 days","__1 일 안에"
"in %1 day","__1 일 안에"
"%1 %2 ago","%1 %2 전"
"%1 days ago","%1 일 전"
"%1 day ago","__1 일 전"
"How to earn points","포인트 적립 방법"
"You have invited %1 friends","%1 명의 친구를 초대했습니다."
"Share the referral link in the social media","소셜 미디어에서 추천 링크 공유"
"You may send this link in your messages to anyone","귀하는 귀하의 메시지에 누구에게나이 링크를 보낼 수 있습니다"
"Page not found.","페이지를 찾을 수 없습니다."
"Customer tier up",고객층
"Customer tier down","고객 계층"
"sum of earned points","획득 한 포인트의 합"
"sum of spent %1","지출 된 금액의 합계 %1"
"Customer does not assign to website","고객이 웹 사이트에 할당하지 않음"
"Payment Method","지불 방법"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","이 계층은 %1 고객에게 할당됩니다. 고객을 다른 계층으로 재 할당하십시오."
"You Spend Points","너 포인트 쓴다."
"Spend Amount",지출액
"Spend Minimum Points","최소 포인트 지출"
"Spend Maximum Points","최대 포인트 지출"
"Cannot delete tier with id %1","ID가 %1 인 계층을 삭제할 수 없습니다."
"Unable to find tier for customer ""%1"". Please check tier configuration.","고객 &quot;%1&quot;의 계층을 찾을 수 없습니다. 계층 구성을 확인하십시오."
"Customer Earning Style","고객 적립 스타일"
"Number of Points (X)","포인트 수 (X)"
"Step (Y)","단계 (Y)"
"In base currency","기본 통화"
"Quantity Step (Z)","수량 단계 (Z)"
"Maximum number of earned points for one customer per day","한 고객 당 하루 최대 포인트 적립"
"Set 0 to disable limit","제한을 사용하지 않으려면 0으로 설정하십시오."
"Do not change","바뀌지 않는다"
"Assign customer to Group","고객을 그룹에 할당"
"Earn Maximum","최대 적립"
"You can enter amount of points or percent. Leave empty to disable.","금액 또는 퍼센트를 입력 할 수 있습니다. 비활성화하려면 비워 두십시오."
"Maximum Distributed Points","최대 분산 포인트"
Tiers,"세 번째"
"%1 for each $%2","각 $ %2에 대해 %1"
"All Groups","모든 그룹"
Actions,행위
"Points spending style","포인트 소비 스타일"
"For each spent X points","사용한 X 포인트마다"
"Number of points.","점수의 수."
"Customer receive Y discount","고객이 Y 할인을 받음"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","기본 통화 또는 퍼센트로 금액을 입력 할 수 있습니다. 예 : 100 또는 5 %."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","금액 또는 퍼센트를 입력 할 수 있습니다. 예 : 100 또는 5 %. 비활성화하려면 비워 두십시오."
"Spend minimum","최소 지출"
"Spend maximum","최대 지출"
"Minimum sum of spent %1","지출 된 최소 금액 %1"
"Minimum points number to reach the tier","티어에 도달하기위한 최소 포인트 수"
"Delete the record with ID ""%1""","ID가 &quot;%1&quot;인 레코드 삭제"
"Are you sure you wan't to delete the record with ID ""%1""?","ID가 &quot;%1&quot;인 레코드를 삭제하지 않으시겠습니까?"
"Anonymous visitor","익명 방문자"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","현재 계층은 <a href=""#"" class=""open-popup""><b>%1입니다.</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%2</b> 에 도착하려면 <b>%1</b> 을 (를) 얻으 <a class=""open-popup""><b>십시오.</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%2</b> 에 도착하려면 <a class=""open-popup""><b>%1</b></a> 을 <a class=""open-popup""><b>보냅니다.</b></a>"
"in 1 day","1 일 후"
"1 day ago","1 일 전"
