"My Reward Points","Mina belöningspoäng"
Reset,Återställa
"Save and Continue Edit","Spara och fortsätt Redigera"
Save,Spara
"Delete the record with ID ""${ $.$data.transaction_id }""","Ta bort posten med ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Är du säker på att du vill radera posten med ID &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary",Poängsammanfattning
"To unsubscribe from points expiring notification click %1","För att avregistrera från poäng som upphör med anmälan klickar du på %1"
"You have <b>%1</b> in your account.","Du har <b>%1</b> i ditt konto."
"Transactions History",Transaktionshistoria
ID,ID
Comment,Kommentar
Points,Points
Created,Skapad
Expires,Utgår
"There are no Transactions.","Det finns inga transaktioner."
"Pending Transactions","Väntande transaktioner"
Order,Beställa
Status,Status
"Your points balance will expire in %1 days.","Din poängsaldo utgår i %1 dagar."
"Visit My Reward Points Section","Besök mitt avsnitt om belöningspoäng"
"Login to earn %1 for sharing!","Logga in för att tjäna %1 för att dela!"
"Earn %1 for sharing!","Tjäna %1 för att dela!"
"Like this page and earn %1","Gilla den här sidan och tjäna %1"
Share,"Dela med sig"
"Share this page and earn %1","Dela den här sidan och tjäna %1"
"Plus this page and earn %1","Plus denna sida och tjäna %1"
"Pin this page and earn %1","Pin denna sida och tjäna %1"
"Refer Friends","Referera Vänner"
"Refer friend and earn %1. More friends more points!","Hänvisa till vän och tjäna %1. Fler vänner fler poäng!"
Tweet,Tweet
"Tweet this page and earn %1","Tweet denna sida och tjäna %1"
"Check this out!","Kolla in det här!"
"You have <b>%1</b> available.","Du har <b>%1</b> tillgänglig."
"Enter amount of points to spend:","Ange antal poäng att spendera:"
"Use maximum %1","Använd maximalt %1"
"Apply Points","Tillämpa poäng"
Apply,Tillämpa
"Cancel Points","Avbryt poäng"
Cancel,Annullera
"Use %1","Använd 1__"
"You Earn","Du tjänar"
"You Spend","Du spenderar"
"Discount amount",Rabattbelopp
"Use Reward Points","Använd belöningspoäng"
"This is a required field","Detta är ett obligatoriskt fält"
"Subscription to Points Expiration Notification","Prenumeration på Poäng Utlämningsmeddelande"
"Earning %1","Tjäna %1"
"Buy to earn %1","Köp för att tjäna %1"
"You'll earn %1 for this item","Du tjänar %1 för det här objektet"
"Share with Friends","Dela med vänner"
"Share the referral link in the social media and get points!","Dela referenslänken i sociala medier och få poäng!"
"Tweet on Twitter","Tweet på Twitter"
"Your referral link:","Din hänvisningslänk:"
"Send Invitations","Skicka inbjudningar"
"Enter contacts of your friends to invite them.","Ange dina vänners kontakter för att bjuda in dem."
Name,Namn
Message,Meddelande
Referrals,Remisser
"Referred by link","Hänvisas av länk"
"There are no Referrals","Det finns inga hänvisningar"
"You have","Du har"
available.,tillgängliga.
"Use maximum","Använd maximalt"
"Enter amount of points to spend","Ange antal poäng att spendera"
Use,"Använda sig av"
"Notification Rules' messages","Meddelanderegler &quot;meddelanden"
Template,Mall
"Notification Rule Template",Anmälningsregelmall
"My Referrals","Mina hänvisningar"
"Referrals List",Hänvisningslista
today,"i dag"
ago,sedan
"Cannot delete transaction with id %1","Kan inte radera transaktion med id %1"
"Expires in","Går ut om"
"How to earn","Hur man tjänar"
"Spend points and receive discounts","Tillbringa poäng och få rabatter"
"Total number of referred friends: %1","Totalt antal hänvisade vänner: %1"
"Or you may send this link in your messages to anyone","Eller du kan skicka den här länken i dina meddelanden till någon annan"
"Your Transactions","Dina transaktioner"
"My Points","Mina poäng"
"Share & Save","Dela och spara"
History,Historia
"in %1 %2","i %1 %2"
"in %1 days","på %1 dagar"
"in %1 day","på %1 dag"
"%1 %2 ago","%1 %2 sedan"
"%1 days ago","%1 dagar sedan"
"%1 day ago","__1 dag sedan"
"How to earn points","Hur man tjänar poäng"
"You have invited %1 friends","Du har bjudit %1 vänner"
"Share the referral link in the social media","Dela referenslänken i sociala medier"
"You may send this link in your messages to anyone","Du kan skicka den här länken i dina meddelanden till någon annan"
"Page not found.","Sidan hittas inte."
"Customer tier up","Kunden klarar sig"
"Customer tier down","Kunden släpper ner"
"sum of earned points","summan av intjänade poäng"
"sum of spent %1","summan av använt %1"
"Customer does not assign to website","Kunden tilldelar inte webbplatsen"
"Payment Method",Betalningsmetod
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Denna nivå är tilldelad %1 kund (er). Vänligen hänvisa kund (er) till annan nivå."
"You Spend Points","Du spenderar poäng"
"Spend Amount","Tillbringa belopp"
"Spend Minimum Points","Tillbringa minsta poäng"
"Spend Maximum Points","Tillbringa maximala poäng"
"Cannot delete tier with id %1","Kan inte ta bort tier med id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Det gick inte att hitta tier för kunden &quot;%1&quot;. Vänligen kontrollera tierkonfigurationen."
"Customer Earning Style","Kunder som tjänar stil"
"Number of Points (X)","Antal poäng (X)"
"Step (Y)","Steg (Y)"
"In base currency","I basvaluta"
"Quantity Step (Z)","Antal steg (Z)"
"Maximum number of earned points for one customer per day","Maximalt antal intjänade poäng för en kund per dag"
"Set 0 to disable limit","Ställ 0 för att inaktivera gränsen"
"Do not change","Ändra inte"
"Assign customer to Group","Tilldela kund till grupp"
"Earn Maximum","Tjäna maximalt"
"You can enter amount of points or percent. Leave empty to disable.","Du kan ange antal poäng eller procent. Lämna tomma för att inaktivera."
"Maximum Distributed Points","Maximala fördelade poäng"
Tiers,Tredje
"%1 for each $%2","%1 för varje $ %2"
"All Groups","Alla grupper"
Actions,Åtgärder
"Points spending style","Poäng spenderar stil"
"For each spent X points","För varje använt X-poäng"
"Number of points.","Antal poäng."
"Customer receive Y discount","Kunden får Y-rabatt"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Du kan ange belopp i basvaluta eller procent. t ex 100 eller 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Du kan ange antal poäng eller procent. t ex 100 eller 5%. Lämna tomma för att inaktivera."
"Spend minimum","Tillbringa minst"
"Spend maximum","Tillbringa maximalt"
"Minimum sum of spent %1","Minsta summa förbrukad %1"
"Minimum points number to reach the tier","Minsta poängtal för att nå nivån"
"Delete the record with ID ""%1""","Ta bort posten med ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Är du säker på att du vill radera posten med ID &quot;%1&quot;?"
"Anonymous visitor","Anonym besökare"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Din nuvarande nivå är <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Tjäna <b>%1 för</b> att komma till <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Tillbringa <b>%1 för</b> att komma till <a class=""open-popup""><b>%2</b></a>"
"in 1 day","om 1 dag"
"1 day ago","1 dag sedan"
