"My Reward Points","Mijn beloningspunten"
"Visited by Referral Link","Bezocht door verwijzingslink"
"Subtotal + Tax","Subtotaal + belasting"
"Subtotal + Tax + Shipping","Subtotaal + belasting + verzendkosten"
"Product Rule",Productregel
"Cart Rule","Winkelwagen regel"
"Behavior Rule",Gedragsregel
"Transaction #%1 is expired","Transactie #%1 is verlopen"
"Update the Product","Werk het product bij"
"Is Rewards Points used","Worden beloningspunten gebruikt"
"Coupon Used","Coupon gebruikt"
"Coupon Code","Coupon code"
No,Nee
Yes,Ja
"Conditions Combination","Voorwaarden Combinatie"
"Product attribute combination","Productattribuut combinatie"
"Products subselection","Producten subselectie"
"Conditions combination","Voorwaarden combinatie"
"Cart Attribute","Winkelwagen kenmerk"
Customer,Klant
"Last 7-days Clicks","Laatste zeven dagen klikken"
"Last 7-days Orders","Laatste 7-daagse bestellingen"
"Last 7-days Revenue","Laatste omzet van 7 dagen"
"Is Referee","Is scheidsrechter"
"Is Referral","Is doorverwijzing"
Email,E-mail
Group,Groep
"Lifetime Sales","Levenslange verkoop"
"Lifetime Spent Points","Lifetime Spent Points"
"Number of Orders","Aantal bestellingen"
"Is subscriber of newsletter","Is abonnee van de nieuwsbrief"
"Number of reviews","Aantal beoordelingen"
"Number of referred friends signups","Het aantal doorverwijzingen van uitgenodigde vrienden"
"Number of referred friends orders","Aantal doorverwezen vriendenbestellingen"
"Sum of referred friends orders","Som van doorverwezen vriendenbestellingen"
"Number of referrals who ordered at least once","Aantal verwijzingen dat minstens één keer heeft besteld"
"Not registered","Niet geregistreerd"
"Attribute Set","Kenmerk instellen"
Quantity,"Aantal stuks"
"Product Type","Product type"
"Base Image",Basisafbeelding
Thumbnail,Thumbnail
"Small Image","Kleine afbeelding"
"Base Image Size (bytes)","Base Image Size (bytes)"
"Thumbnail Size (bytes)","Miniatuurgrootte (bytes)"
"Small Image Size (bytes)","Kleine afbeeldingsgrootte (bytes)"
"PHP Condition",PHP-toestand
"Base Price",Basisprijs
"Final Price","Uiteindelijke prijs"
"Special Price","Speciale prijs"
"Open Chooser","Open Chooser"
"Referred: Group","Verwezen: groep"
"Referred: Lifetime Sales","Verwezen: Lifetime Sales"
"Referred: Number of Orders","Verwezen: aantal bestellingen"
"Referred: Is subscriber of newsletter","Verwijderd: is abonnee van nieuwsbrief"
"Referred: Number of reviews","Verwezen: aantal beoordelingen"
"Please specify a website.","Geef een website op."
"Please specify a customer email.","Geef een klantmail op."
"We found an invalid value in a website column.","We hebben een ongeldige waarde gevonden in een kolom met websites."
"Please enter a valid email.","Gelieve een geldig e-mailadres in te vullen."
"Please make sure attribute ""%1"" is not empty.","Zorg ervoor dat attribuut &quot;%1&quot; niet leeg is."
"We can't find a customer who matches this email and website code.","We kunnen geen klant vinden die voldoet aan deze e-mail- en websitecode."
"-- Please Select --","-- Selecteer alstublieft --"
"Discount Used","Korting gebruikt"
"Custom Product Attributes","Aangepaste productkenmerken"
"- Disable these emails -","- Schakel deze e-mails uit -"
"Give X points to customer","Geef X-punten aan de klant"
"Give X points for every spent Y","Geef X-punten voor elke bestede Y"
"Give X points for every Z quantity","Geef X-punten voor elke Z-hoeveelheid"
"For every Y, give X points","Geef voor elke Y X-punten op"
Pending,"In afwachting"
Approved,Aangenomen
Discarded,Afgedankte
"You do not have permissions to create transactions. Please contact your site administrator.","U bent niet gemachtigd om transacties aan te maken. Neem contact op met uw sitebeheerder."
"%1 has been added.","%1 is toegevoegd."
"%1 has been deducted.","%1 is afgetrokken."
"You earned %1 and spent %2 for this order.","U heeft %1 verdiend en %2 uitgegeven voor deze bestelling."
"You spent %1 for this order.","U heeft %1 besteed aan deze bestelling."
"You earned %1 for this order.","U heeft %1 verdiend voor deze bestelling."
"Earned points will be enrolled to your account after we finish processing your order.","Verdiende punten worden in uw account geregistreerd nadat we uw bestelling hebben verwerkt."
"Rewards error occurred on the server. Please try to place the order again.","Rewards-fout opgetreden op de server. Probeer de bestelling opnieuw te plaatsen."
"Earn at least %1 %2","Verdien minstens %1 %2"
"Reward Points",Beloningspunten
Edit,Bewerk
Back,Terug
Delete,Verwijder
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
Reset,Reset
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
Save,Opslaan
"Delete the record with ID ""${ $.$data.transaction_id }""","Verwijder de record met ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Weet je zeker dat je het record met ID &quot;$ {$. $ Data.transaction_id}&quot; niet wilt verwijderen?"
"Points Summary",Puntenoverzicht
"To unsubscribe from points expiring notification click %1","Als u zich wilt afmelden voor berichten die verlopen zijn, klikt u op %1"
"You have <b>%1</b> in your account.","U heeft <b>%1</b> in uw account."
"Transactions History","Transactie geschiedenis"
ID,"ID kaart"
Comment,Commentaar
Points,Punten
Created,Gemaakt
Expires,Verloopt
"There are no Transactions.","Er zijn geen transacties."
"Pending Transactions","Wachtende Transacties"
Order,Bestellen
Status,Staat
"Your points balance will expire in %1 days.","Uw puntensaldo verloopt over %1 dagen."
"Visit My Reward Points Section","Bezoek My Reward Points Section"
"Login to earn %1 for sharing!","Log in om %1 te verdienen om te delen!"
"Earn %1 for sharing!","Verdien %1 voor delen!"
"Like this page and earn %1","Vind deze pagina leuk en verdien %1"
Share,Delen
"Share this page and earn %1","Deel deze pagina en verdien %1"
"Plus this page and earn %1","Plus deze pagina en verdien %1"
"Pin this page and earn %1","Pin deze pagina en verdien %1"
"Refer Friends","Verwijs vrienden"
"Refer friend and earn %1. More friends more points!","Verwijs vriend en verdien %1. Meer vrienden meer punten!"
Tweet,Gekwetter
"Tweet this page and earn %1","Tweet deze pagina en verdien %1"
"Check this out!","Bekijk dit!"
"You have <b>%1</b> available.","Je hebt <b>%1</b> beschikbaar."
"Enter amount of points to spend:","Voer het aantal te besteden punten in:"
"Use maximum %1","Gebruik maximum %1"
"Apply Points","Punten toepassen"
Apply,"Van toepassing zijn"
"Cancel Points","Punten annuleren"
Cancel,Annuleer
"Use %1","Gebruik 1__"
"You Earn","Je verdient"
"You Spend","Jij spendeert"
"Discount amount","Korting hoeveelheid"
"Use Reward Points","Gebruik beloningspunten"
"This is a required field","Dit is een verplicht veld"
"Subscription to Points Expiration Notification","Abonnement op punten Vervalmelding"
"Earning %1","%1 verdienen"
"Buy to earn %1","Koop om %1 te verdienen"
"You'll earn %1 for this item","Je verdient %1 voor dit item"
"Share with Friends","Delen met vrienden"
"Share the referral link in the social media and get points!","Deel de verwijzingslink in de sociale media en krijg punten!"
"Tweet on Twitter","Tweet op Twitter"
"Your referral link:","Jouw verwijslink:"
"Send Invitations","Uitnodigingen versturen"
"Enter contacts of your friends to invite them.","Voer contacten van je vrienden in om ze uit te nodigen."
Name,Naam
Message,Bericht
Referrals,Verwijzingen
"Referred by link","Doorgegeven via link"
"There are no Referrals","Er zijn geen doorverwijzingen"
"You have","Jij hebt"
available.,beschikbaar.
"Use maximum","Gebruik maximum"
"Enter amount of points to spend","Voer het aantal te besteden punten in"
Use,Gebruik
"Notification Rules' messages","Berichten van meldingsregels"
Template,Sjabloon
"Notification Rule Template","Notification Rule Template"
"My Referrals","Mijn verwijzingen"
"Referrals List",Verwijzingslijst
today,vandaag
ago,geleden
"Cannot delete transaction with id %1","Kan transactie met ID niet verwijderen %1"
"Expires in","Verloopt in"
"How to earn","Hoe te verdienen"
"Spend points and receive discounts","Besteed punten en ontvang kortingen"
"Total number of referred friends: %1","Totaal aantal uitgenodigde vrienden: %1"
"Or you may send this link in your messages to anyone","Of u kunt deze link in uw berichten naar iedereen verzenden"
"Your Transactions","Uw transacties"
"My Points","Mijn punten"
"Share & Save","Aandeel redden"
History,Geschiedenis
"in %1 %2","in %1 %2"
"in %1 days","in %1 dagen"
"in %1 day","in %1 dag"
"%1 %2 ago","%1 %2 geleden"
"%1 days ago","%1 dagen geleden"
"%1 day ago","__1 dag geleden"
"How to earn points","Hoe punten te verdienen"
"You have invited %1 friends","Je hebt %1 vrienden uitgenodigd"
"Share the referral link in the social media","Deel de verwijzingslink in de sociale media"
"You may send this link in your messages to anyone","Je mag deze link in je berichten naar iedereen verzenden"
"Page not found.","Pagina niet gevonden."
"Customer tier up","Klant hogerop"
"Customer tier down","Klantlaag naar beneden"
"sum of earned points","som van verdiende punten"
"sum of spent %1","som van bestede %1"
"Customer does not assign to website","Klant wijst niet toe aan website"
"Payment Method",Betalingsmiddel
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Deze laag is toegewezen aan %1 klant (en). Wijs klant (en) opnieuw toe aan een ander niveau."
"You Spend Points","U besteedt punten"
"Spend Amount","Besteed bedrag"
"Spend Minimum Points","Besteed minimale punten"
"Spend Maximum Points","Besteed maximale punten"
"Cannot delete tier with id %1","Kan laag niet verwijderen met id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Kan niveau voor klant &quot;%1&quot; niet vinden. Controleer de configuratie van de lagen."
"Customer Earning Style","Klant verdienende stijl"
"Number of Points (X)","Aantal punten (X)"
"Step (Y)","Stap (Y)"
"In base currency","In basisvaluta"
"Quantity Step (Z)","Hoeveelheid stap (Z)"
"Maximum number of earned points for one customer per day","Maximaal aantal verdiende punten voor één klant per dag"
"Set 0 to disable limit","Stel 0 in om limiet uit te schakelen"
"Do not change","Verander niet"
"Assign customer to Group","Wijs klant toe aan Group"
"Earn Maximum","Verdien maximum"
"You can enter amount of points or percent. Leave empty to disable.","U kunt het aantal punten of percenten invoeren. Laat leeg om uit te schakelen."
"Maximum Distributed Points","Maximaal verdeelde punten"
Tiers,Derde
"%1 for each $%2","%1 voor elke $ %2"
"All Groups","Alle groepen"
Actions,Acties
"Points spending style","Punten bestedingsstijl"
"For each spent X points","Voor elke bestede X-punten"
"Number of points.","Aantal punten."
"Customer receive Y discount","Klant ontvangt Y-korting"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","U kunt het bedrag invoeren in basisvaluta of -percentage. bijvoorbeeld 100 of 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","U kunt het aantal punten of percenten invoeren. bijvoorbeeld 100 of 5%. Laat leeg om uit te schakelen."
"Spend minimum","Besteed minimaal"
"Spend maximum","Besteed maximum"
"Minimum sum of spent %1","Minimale som van bestede %1"
"Minimum points number to reach the tier","Minimum aantal punten om het niveau te bereiken"
"Delete the record with ID ""%1""","Verwijder de record met ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Weet je zeker dat je het record met ID &quot;%1&quot; niet wilt verwijderen?"
"Anonymous visitor","Anonieme bezoeker"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Uw huidige niveau is <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Verdien <b>%1</b> om bij <a class=""open-popup""><b>%2</b></a> te <a class=""open-popup""><b>komen</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Besteed <b>%1</b> om naar <a class=""open-popup""><b>%2 te gaan</b></a>"
"in 1 day","over 1 dag"
"1 day ago","1 dag geleden"
