"My Reward Points","امتیازات پاداش من"
"You earned %1 for this order.","شما برای این سفارش %1 کسب کردید"
"Earned points will be enrolled to your account after we finish processing your order.","پس از اتمام پردازش سفارش شما، امتیازات کسب شده به حساب شما ثبت می شود."
"Rewards error occurred on the server. Please try to place the order again.","خطای پاداش در سرور رخ داده است. لطفا سعی کنید دوباره سفارش دهید."
"Earn at least %1 %2","حداقل %1 %2 کسب کنید"
"Reward Points","امتیازات پاداش"
Edit,ویرایش
Back,بازگشت
Delete,حذف
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
Reset,بازنشانی
"Save and Continue Edit","ذخیره و ویرایش ادامه دهید"
Save,"صرفه جویی"
"Delete the record with ID ""${ $.$data.transaction_id }""","رکورد را با شناسه &quot;$ {$. $ data.transaction_id}&quot; حذف کنید"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","آیا مطمئن هستید که نمی توانید رکورد را با شناسه &quot;$ {$. $ data.transaction_id}&quot; حذف کنید؟"
"Points Summary","خلاصه امتیاز"
"To unsubscribe from points expiring notification click %1","برای لغو اشتراک از نکات تکمیل اعلان کلیک کنید %1"
"You have <b>%1</b> in your account.","شما در <b>حسابتان %1 دارید</b> ."
"Transactions History","تاریخ معاملات"
ID,شناسه
Comment,"اظهار نظر"
Points,"نکته ها"
Created,"ایجاد شده"
Expires,"منقضی می شود"
"There are no Transactions.","معاملات وجود ندارد"
"Pending Transactions","معاملات در انتظار"
Order,سفارش
Status,وضعیت
"Your points balance will expire in %1 days.","تعادل امتیاز شما در %1 روز منقضی خواهد شد."
"Visit My Reward Points Section","مرا بخاطر بسپار"
"Login to earn %1 for sharing!","برای کسب درآمد %1 برای به اشتراک گذاشتن وارد شوید"
"Earn %1 for sharing!","کسب درآمد %1 برای به اشتراک گذاری!"
"Like this page and earn %1","مانند این صفحه و کسب درآمد %1"
Share,"اشتراک گذاری"
"Share this page and earn %1","این صفحه را به اشتراک بگذارید و %1 کسب کنید"
"Plus this page and earn %1","به علاوه این صفحه و کسب %1"
"Pin this page and earn %1","پین این صفحه و کسب درآمد %1"
"Refer Friends","مراجعه به دوستان"
"Refer friend and earn %1. More friends more points!","دوستان را مشاهده کنید و %1 کسب کنید. بیشتر دوستان بیشتر امتیاز!"
Tweet,"صدای جیر جیر"
"Tweet this page and earn %1","این صفحه را امتحان کنید و %1 کسب کنید"
"Check this out!","اینو ببین!"
"You have <b>%1</b> available.","شما <b>%1</b> در دسترس دارید"
"Enter amount of points to spend:","مقدار نقاط را برای صرفنظر کردن وارد کنید:"
"Use maximum %1","استفاده از حداکثر %1"
"Apply Points","درخواست امتیازات"
Apply,"درخواست دادن"
"Cancel Points","لغو امتیازات"
Cancel,لغو
"Use %1","از %1 استفاده کنید"
"You Earn","تو به دست آوردی"
"You Spend","شما صرف می کنید"
"Discount amount","مقدار تخفیف"
"Use Reward Points","استفاده از امتیاز پاداش"
"This is a required field","این فیلد ضروری است"
"Subscription to Points Expiration Notification","اشتراک برای اعلان پایان دادن به امتیاز"
"Earning %1","کسب درآمد %1"
"Buy to earn %1","خرید برای کسب %1"
"You'll earn %1 for this item","شما برای این مورد %1 درآمد خواهید داشت"
"Share with Friends","با دوستان به اشتراک گذاشتن"
"Share the referral link in the social media and get points!","پیوند ارجاع را در رسانه های اجتماعی به اشتراک بگذارید و امتیاز بگیرید!"
"Tweet on Twitter","توییت توییتر"
"Your referral link:","لینک ارجاعی شما:"
"Send Invitations","ارسال دعوت نامه ها"
"Enter contacts of your friends to invite them.","مخاطبین خود را وارد کنید تا آنها را دعوت کنید."
Name,نام
Message,پیام
Referrals,ارجاعات
"Referred by link","لینک شده توسط لینک"
"There are no Referrals","هیچ ارجاعی وجود ندارد"
"You have","شما دارید"
available.,"در دسترس."
"Use maximum","حداکثر استفاده کنید"
"Enter amount of points to spend","مقدار نقاط را برای صرفنظر کردن وارد کنید"
Use,"استفاده کنید"
"Notification Rules' messages","پیام های اخطار قوانین &quot;"
Template,قالب
"Notification Rule Template","الگو اخطار قانون"
"My Referrals","مراجعه من"
"Referrals List","فهرست ارجاع"
today,امروز
ago,پیش
"Cannot delete transaction with id %1","تراکنش با شناسه %1 را نمیتوان حذف کرد"
"Expires in","منقضی می شود"
"How to earn","چگونه کسب کنیم"
"Spend points and receive discounts","صرف نقاط و دریافت تخفیف"
"Total number of referred friends: %1","تعداد کل دوستان ذکر شده: %1"
"Or you may send this link in your messages to anyone","یا ممکن است این پیوند را در پیامهایتان به هر کسی ارسال کنید"
"Your Transactions","معاملات شما"
"My Points","امتیازات من"
"Share & Save","به اشتراک بگذارید و ذخیره کنید"
History,تاریخ
"in %1 %2","در %1 %2"
"in %1 days","در %1 روز"
"in %1 day","در %1 روز"
"%1 %2 ago","%1 %2 قبل"
"%1 days ago","%1 روز قبل"
"%1 day ago","%1 روز قبل"
"How to earn points","چگونه امتیاز کسب کنیم"
"You have invited %1 friends","شما %1 دوستان را دعوت کرده اید"
"Share the referral link in the social media","پیوند ارجاع را در رسانه های اجتماعی به اشتراک بگذارید"
"You may send this link in your messages to anyone","شما می توانید این لینک را در پیام های خود به هر کسی ارسال کنید"
"Page not found.","صفحه یافت نشد."
"Customer tier up","مرتبه مشتری بالا"
"Customer tier down","سطح مشتری پایین است"
"sum of earned points","مجموع امتیازات به دست آمده"
"sum of spent %1","مجموع صرف %1"
"Customer does not assign to website","مشتری به وب سایت اختصاص ندارد"
"Payment Method","روش پرداخت"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","این ردیف به %1 مشتری اختصاص دارد. لطفا مشتری (ها) را به سطر دیگر منتقل کنید."
"You Spend Points","شما صرف نظر می کنید"
"Spend Amount","مقدار صرف کنید"
"Spend Minimum Points","صرف حداقل امتیاز"
"Spend Maximum Points","حداکثر امتیاز را صرف کنید"
"Cannot delete tier with id %1","سطر با id %1 حذف نمی شود"
"Unable to find tier for customer ""%1"". Please check tier configuration.","امکان پیدا کردن سطر برای مشتری &quot;%1&quot; نیست. لطفا تنظیمات سطح را بررسی کنید."
"Customer Earning Style","سبک کسب درآمد مشتری"
"Number of Points (X)","تعداد امتیازات (X)"
"Step (Y)","گام (ی)"
"In base currency","در ارز پایه"
"Quantity Step (Z)","تعداد گام (Z)"
"Maximum number of earned points for one customer per day","حداکثر تعداد امتیازهای به دست آمده برای یک مشتری در روز"
"Set 0 to disable limit","تنظیم 0 را برای غیر فعال کردن محدودیت تنظیم کنید"
"Do not change","تغییر نده"
"Assign customer to Group","مشتری را به گروه اختصاص دهید"
"Earn Maximum","حداکثر درآمد کسب کنید"
"You can enter amount of points or percent. Leave empty to disable.","شما می توانید مقدار امتیاز یا درصد را وارد کنید. برای غیرفعال کردن خالی بگذار"
"Maximum Distributed Points","حداکثر امتیاز توزیع شده"
Tiers,سوم
"%1 for each $%2","%1 برای هر $ %2"
"All Groups","همه گروه ها"
Actions,اقدامات
"Points spending style","امتیاز هزینه های سبک"
"For each spent X points","برای هر امتیاز X منتقل شده"
"Number of points.","تعداد امتیازات"
"Customer receive Y discount","مشتری تخفیف Y دریافت می کند"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","شما می توانید مقدار را در ارز پایه و یا درصد وارد کنید. به عنوان مثال 100 یا 5٪."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","شما می توانید مقدار امتیاز یا درصد را وارد کنید. به عنوان مثال 100 یا 5٪. برای غیرفعال کردن خالی بگذار"
"Spend minimum","صرف حداقل"
"Spend maximum","حداکثر هزینه را صرف کنید"
"Minimum sum of spent %1","حداقل مقدار صرف شده %1"
"Minimum points number to reach the tier","حداقل تعداد امتیاز برای رسیدن به سطح"
"Delete the record with ID ""%1""","رکورد را با شناسه «%1» حذف کنید"
"Are you sure you wan't to delete the record with ID ""%1""?","آیا مطمئنید که رکورد با ID «%1» را حذف کنید؟"
"Anonymous visitor","بازدید کننده ناشناس"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","سطح فعلی شما <a href=""#"" class=""open-popup""><b>%1 است</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%1</b> برای رسیدن به <a class=""open-popup""><b>%2</b></a> کسب کنید"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","صرف <b>%1</b> برای رفتن به <a class=""open-popup""><b>%2</b></a>"
"in 1 day","در 1 روز"
"1 day ago","1 روز پیش"
