"My Reward Points","نقاط مكافآتي"
"Lifetime Spent Points","نقاط العمر المستنفذة"
"Number of Orders","عدد الطلبات"
"Is subscriber of newsletter","هو المشترك في النشرة الإخبارية"
"Number of reviews","عدد المراجعات"
"Number of referred friends signups","عدد من الأصدقاء المقربين بالاشتراك"
"Number of referred friends orders","عدد طلبات الأصدقاء المحالة"
"Sum of referred friends orders","مجموع من أصدقاء المحالة أوامر"
"Number of referrals who ordered at least once","عدد الإحالات التي طلبت مرة واحدة على الأقل"
"Not registered","غير مسجل"
"Attribute Set","مجموعة السمات"
Quantity,كمية
"Product Type","نوع المنتج"
"Base Image","الصورة الأساسية"
Thumbnail,"صورة مصغرة"
"Small Image","صورة صغيرة"
"Base Image Size (bytes)","حجم الصورة الأساسية (بايت)"
"Thumbnail Size (bytes)","حجم الصورة المصغرة (بالبايت)"
"Small Image Size (bytes)","حجم الصورة الصغيرة (بايت)"
"PHP Condition","حالة PHP"
"Base Price","السعر الأساسي"
"Final Price","السعر النهائي"
"Special Price","سعر خاص"
"Open Chooser","اختيار محدد"
"Referred: Group","المشار إليه: المجموعة"
"Referred: Lifetime Sales","المشار إليه: مبيعات مدى الحياة"
"Referred: Number of Orders","المشار إليه: عدد الطلبات"
"Referred: Is subscriber of newsletter","المشار إليه: هو مشترك في النشرة الإخبارية"
"Referred: Number of reviews","المشار إليه: عدد من الاستعراضات"
"Please specify a website.","يرجى تحديد موقع على شبكة الانترنت."
"Please specify a customer email.","يرجى تحديد البريد الإلكتروني الخاص بالعميل."
"We found an invalid value in a website column.","لقد وجدنا قيمة غير صالحة في عمود موقع الويب."
"Please enter a valid email.","يرجى إدخال البريد الإلكتروني الصحيح."
"Please make sure attribute ""%1"" is not empty.","يرجى التأكد من أن السمة &quot;%1&quot; ليست فارغة."
"We can't find a customer who matches this email and website code.","لا يمكننا العثور على عميل يطابق هذا البريد الإلكتروني ورمز موقع الويب."
"-- Please Select --","- من فضلك اختر -"
"Discount Used","الخصم المستخدمة"
"Custom Product Attributes","سمات المنتج المخصص"
"- Disable these emails -","- تعطيل هذه الرسائل -"
"Give X points to customer","امنح X نقاط للعميل"
"Give X points for every spent Y","اعط نقاط X لكل يوم تنفقه Y"
"Give X points for every Z quantity","أعط X نقاط لكل كمية Z"
"For every Y, give X points","لكل ص ، أعط نقاط س"
Pending,"قيد الانتظار"
Approved,وافق
Discarded,"التخلص منها"
"You do not have permissions to create transactions. Please contact your site administrator.","ليس لديك أذونات لإنشاء معاملات. يرجى الاتصال بمسؤول الموقع."
"%1 has been added.","%1 تمت إضافته."
"%1 has been deducted.","%1 تم خصمها."
"You earned %1 and spent %2 for this order.","لقد ربحت %1 وقضيت %2 لهذا الطلب."
"You spent %1 for this order.","لقد أنفقت %1 لهذا الطلب."
"You earned %1 for this order.","لقد ربحت %1 لهذا الطلب."
"Earned points will be enrolled to your account after we finish processing your order.","سيتم تسجيل النقاط المكتسبة في حسابك بعد الانتهاء من معالجة طلبك."
"Rewards error occurred on the server. Please try to place the order again.","حدث خطأ في المكافآت على الخادم. يرجى محاولة تقديم الطلب مرة أخرى."
"Earn at least %1 %2","اربح على الأقل %1 %2"
"Reward Points","نقاط مكافأة"
Edit,تصحيح
Back,"الى الخلف"
Delete,حذف
"Are you sure you want to do this?","هل انت متأكد من أنك تريد أن تفعل هذا؟"
Reset,"إعادة تعيين"
"Save and Continue Edit","حفظ ومتابعة تحرير"
Save,حفظ
"Delete the record with ID ""${ $.$data.transaction_id }""","احذف السجل بالكود &quot;${ $.$data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","هل أنت متأكد من أنك لن تحذف السجل بالكود &quot;${ $.$data.transaction_id}&quot;؟"
"Points Summary","ملخص النقاط"
"To unsubscribe from points expiring notification click %1","لإلغاء الاشتراك من إشعار انتهاء صلاحية النقاط ، انقر فوق %1"
"You have <b>%1</b> in your account.","لديك <b>%1</b> في حسابك."
"Transactions History","تاريخ المعاملات"
ID,"هوية شخصية"
Comment,تعليق
Points,نقاط
Created,خلقت
Expires,تنتهي
"There are no Transactions.","لا توجد معاملات."
"Pending Transactions","المعاملات المعلقة"
Order,طلب
Status,الحالة
"Your points balance will expire in %1 days.","سينتهي رصيد رصيدك خلال %1 أيام."
"Visit My Reward Points Section","قم بزيارة قسم نقاط مكافآتي"
"Login to earn %1 for sharing!","تسجيل الدخول لكسب %1 للمشاركة!"
"Earn %1 for sharing!","اربح %1 للمشاركة!"
"Like this page and earn %1","مثل هذه الصفحة واكسب %1"
Share,شارك
"Share this page and earn %1","شارك هذه الصفحة واربح %1"
"Plus this page and earn %1","بالإضافة إلى هذه الصفحة واكسب %1"
"Pin this page and earn %1","تثبيت هذه الصفحة واكسبها %1"
"Refer Friends","إحالة الأصدقاء"
"Refer friend and earn %1. More friends more points!","إحالة الأصدقاء وكسب %1. المزيد من الأصدقاء المزيد من النقاط!"
Tweet,سقسقة
"Tweet this page and earn %1","سقسقة هذه الصفحة واربح %1"
"Check this out!","تحقق من هذا!"
"You have <b>%1</b> available.","لديك <b>%1</b> متاح."
"Enter amount of points to spend:","أدخل كم من النقاط لإنفاقها:"
"Use maximum %1","استخدم أقصى %1"
"Apply Points","تطبيق النقاط"
Apply,تطبيق
"Cancel Points","إلغاء النقاط"
Cancel,إلغاء
"Use %1","استخدم %1"
"You Earn","أنت تكسب"
"You Spend","أنت تمضي"
"Discount amount","مقدار الخصم"
"Use Reward Points","استخدام نقاط المكافأة"
"This is a required field","هذا مجال مطلوب"
"Subscription to Points Expiration Notification","الاشتراك في Points Expiration Notification"
"Earning %1","ربح %1"
"Buy to earn %1","الشراء لكسب %1"
"You'll earn %1 for this item","ستكسب %1 لهذا العنصر"
"Share with Friends","شارك مع الاصدقاء"
"Share the referral link in the social media and get points!","شارك رابط الإحالة في وسائل التواصل الاجتماعي واحصل على النقاط!"
"Tweet on Twitter","التغريد على تويتر"
"Your referral link:","رابط الإحالة الخاص بك:"
"Send Invitations","يرسل دعوات"
"Enter contacts of your friends to invite them.","أدخل جهات اتصال أصدقائك لدعوتهم."
Name,اسم
Message,رسالة
Referrals,الدعوات
"Referred by link","المشار إليها عن طريق الرابط"
"There are no Referrals","لا توجد الإحالات"
"You have",عندك
available.,متاح.
"Use maximum","استخدم الحد الأقصى"
"Enter amount of points to spend","أدخل كم من النقاط لإنفاقها"
Use,استعمال
"Notification Rules' messages","رسائل قواعد الإخطار"
Template,قالب
"Notification Rule Template","قالب قاعدة الإعلام"
"My Referrals","بلدي الإحالات"
"Referrals List","قائمة الإحالات"
today,اليوم
ago,منذ
"Cannot delete transaction with id %1","لا يمكن حذف المعاملة ذات المعرف %1"
"Expires in","ينتهي في"
"How to earn","كيف تحصل على"
"Spend points and receive discounts","إنفاق النقاط والحصول على خصومات"
"Total number of referred friends: %1","العدد الإجمالي للأصدقاء المحالين: %1"
"Or you may send this link in your messages to anyone","أو يمكنك إرسال هذا الرابط في رسائلك إلى أي شخص"
"Your Transactions",معاملاتك
"My Points",نقاطي
"Share & Save","شارك احفظ"
History,التاريخ
"in %1 %2","في %1 %2"
"in %1 days","في %1 يومًا"
"in %1 day","في %1 يوم"
"%1 %2 ago","%1 %2 قبل"
"%1 days ago","%1 أيام مضت"
"%1 day ago","__1 منذ يوم"
"How to earn points","كيف تكسب النقاط"
"You have invited %1 friends","لقد قمت بدعوة %1 أصدقاء"
"Share the referral link in the social media","شارك رابط الإحالة في وسائل التواصل الاجتماعي"
"You may send this link in your messages to anyone","يمكنك إرسال هذا الرابط في رسائلك إلى أي شخص"
"Page not found.","الصفحة غير موجودة."
"%1 were applied.","%1 تم تطبيقها."
"Customer tier up","طبقة العملاء"
"Customer tier down","الطبقة العملاء لأسفل"
"sum of earned points","مجموع النقاط المكتسبة"
"sum of spent %1","مجموع الإنفاق %1"
"Customer does not assign to website","العميل لا يعين لموقع الويب"
"Payment Method","طريقة الدفع او السداد"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","يتم تعيين هذا المستوى إلى %1 من العملاء (العملاء). يرجى إعادة تعيين العميل (العملاء) إلى فئات أخرى."
"You Spend Points","أنت تنفق نقاط"
"Spend Amount","إنفاق المبلغ"
"Spend Minimum Points","إنفاق النقاط الدنيا"
"Spend Maximum Points","إنفاق النقاط القصوى"
"Cannot delete tier with id %1","لا يمكن حذف الطبقة بالمعرف %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","يتعذر العثور على الطبقة للعميل &quot;%1&quot;. يرجى التحقق من تكوين الطبقة."
"Customer Earning Style","أسلوب كسب العملاء"
"Number of Points (X)","عدد النقاط (X)"
"Step (Y)","الخطوة (ص)"
"In base currency","بالعملة الأساسية"
"Quantity Step (Z)","الخطوة الكمية (ض)"
"Maximum number of earned points for one customer per day","الحد الأقصى لعدد النقاط المكتسبة لعميل واحد في اليوم"
"Set 0 to disable limit","تعيين 0 لتعطيل الحد"
"Do not change","لا تغير"
"Assign customer to Group","قم بتعيين العميل إلى المجموعة"
"Earn Maximum","كسب أقصى"
"You can enter amount of points or percent. Leave empty to disable.","يمكنك إدخال مقدار النقاط أو النسبة المئوية. اتركه فارغًا لتعطيله."
"Maximum Distributed Points","الحد الأقصى لنقاط التوزيع"
Tiers,ثلث
"%1 for each $%2","%1 مقابل كل $ %2"
"All Groups","كل المجموعات"
Actions,أفعال
"Points spending style","نقاط أسلوب الإنفاق"
"For each spent X points","لكل نقطة X تنفق"
"Number of points.","عدد النقاط."
"Customer receive Y discount","يتلقى العميل خصم Y."
"You can enter amount in base currency or percent. e.g. 100 or 5%.","يمكنك إدخال المبلغ بالعملة الأساسية أو النسبة المئوية. على سبيل المثال 100 أو 5 ٪."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","يمكنك إدخال مقدار النقاط أو النسبة المئوية. على سبيل المثال 100 أو 5 ٪. اتركه فارغًا لتعطيله."
"Spend minimum","تنفق الحد الأدنى"
"Spend maximum","يقضي أقصى"
"Minimum sum of spent %1","الحد الأدنى للمبلغ الذي تم إنفاقه %1"
"Minimum points number to reach the tier","الحد الأدنى لعدد النقاط للوصول إلى المستوى"
"Delete the record with ID ""%1""","حذف السجل بالمعرف &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","هل أنت متأكد من أنك لن تحذف السجل الذي يحمل المعرّف &quot;%1&quot;؟"
"Anonymous visitor","زائر مجهول"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","الطبقة الحالية هي <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","اربح <b>%1</b> للوصول إلى <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","أنفق <b>%1</b> للوصول إلى <a class=""open-popup""><b>%2</b></a>"
"in 1 day","في يوم واحد"
"1 day ago","1 منذ يوم"
