"My Reward Points",私の報酬ポイント
"Custom Product Attributes",カスタム商品属性
"- Disable these emails -","- これらのメールを無効にする -"
"Give X points to customer",顧客にXポイントを与える
"Give X points for every spent Y",すべての使用済みYにXポイントを与える
"Give X points for every Z quantity",すべてのZ量に対してX点を与える
"For every Y, give X points",すべてのYについて、X点を与える
Pending,保留中
Approved,承認済み
Discarded,破棄された
"You do not have permissions to create transactions. Please contact your site administrator.",トランザクションを作成する権限がありません。サイト管理者に連絡してください。
"%1 has been added.",%1が追加されました。
"%1 has been deducted.",%1が差し引かれました。
"You earned %1 and spent %2 for this order.",あなたはこの注文に対して%1を獲得し、%2を費やしました。
"You spent %1 for this order.",あなたはこの注文のために%1を費やしました。
"You earned %1 for this order.",この注文に対して%1を獲得しました。
"Earned points will be enrolled to your account after we finish processing your order.",ご注文の処理が完了した後、獲得ポイントがお客様のアカウントに登録されます。
"Rewards error occurred on the server. Please try to place the order again.",サーバー上で発生したリワードのエラー。もう一度注文してください。
"Earn at least %1 %2","少なくとも%1 %2を獲得してください"
"Reward Points",報酬ポイント
Edit,編集
Back,バック
Delete,削除
"Are you sure you want to do this?",これをやりたいですか？
Reset,リセット
"Save and Continue Edit",保存して編集を継続
Save,セーブ
"Delete the record with ID ""${ $.$data.transaction_id }""","ID「$ {$。$ data.transaction_id}」のレコードを削除する"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","ID「$ {$。$ data.transaction_id}」のレコードを削除することはできませんか？"
"Points Summary",ポイント要約
"To unsubscribe from points expiring notification click %1",通知の期限切れポイントからの退会をするには%1をクリックしてください
"You have <b>%1</b> in your account.",あなたのアカウントには<b>%1</b>があります。
"Transactions History",トランザクションの履歴
ID,ID
Comment,コメント
Points,ポイント
Created,作成した
Expires,期限切れ
"There are no Transactions.",トランザクションはありません。
"Pending Transactions",保留中のトランザクション
Order,注文
Status,状態
"Your points balance will expire in %1 days.",ポイント残高は__1日以内に期限切れになります。
"Visit My Reward Points Section",マイリワードポイントセクションをご覧ください
"Login to earn %1 for sharing!",共有するために%1を獲得するためにログインしてください！
"Earn %1 for sharing!",共有するために%1を獲得してください！
"Like this page and earn %1",このページのように%1を獲得する
Share,シェア
"Share this page and earn %1",このページを共有して%1を獲得する
"Plus this page and earn %1",プラスこのページと%1を獲得
"Pin this page and earn %1",このページを固定して%1を獲得する
"Refer Friends",友達を参照
"Refer friend and earn %1. More friends more points!",友人を紹介して%1を獲得する。友人より多くのポイント！
Tweet,Tweet
"Tweet this page and earn %1",このページをツイートして%1を獲得する
"Check this out!",これをチェック！
"You have <b>%1</b> available.",あなたは<b>%1が</b>利用可能です。
"Enter amount of points to spend:",費やすポイント数を入力してください：
"Use maximum %1",最大%1を使用する
"Apply Points",ポイントの適用
Apply,適用
"Cancel Points",キャンセルポイント
Cancel,キャンセル
"Use %1",1を使用します__
"You Earn",あなたは稼ぐ
"You Spend",あなたが過ごす
"Discount amount",割引額
"Use Reward Points",報酬ポイントを使用する
"This is a required field",これは必要項目です
"Subscription to Points Expiration Notification",ポイント有効期限通知へのサブスクリプション
"Earning %1",%1を獲得する
"Buy to earn %1",購入して%1を獲得する
"You'll earn %1 for this item",このアイテムには%1を獲得します
"Share with Friends",友人たちと分ける
"Share the referral link in the social media and get points!",ソーシャルメディアの紹介リンクを共有してポイントを取得してください！
"Tweet on Twitter",TwitterでTweet
"Your referral link:",あなたの紹介リンク：
"Send Invitations",招待状を送る
"Enter contacts of your friends to invite them.",招待する友人の連絡先を入力します。
Name,名
Message,メッセージ
Referrals,紹介
"Referred by link",リンクで参照される
"There are no Referrals",紹介はありません
"You have",あなたが持っている
available.,利用可能です。
"Use maximum",最大値を使用する
"Enter amount of points to spend",費やすポイント数を入力してください
Use,つかいます
"Notification Rules' messages",通知ルールのメッセージ
Template,テンプレート
"Notification Rule Template",通知ルールテンプレート
"My Referrals",私の紹介
"Referrals List",リフェラルリスト
today,今日
ago,前
"Cannot delete transaction with id %1",%1のIDを持つトランザクションを削除できません
"Expires in",期限切れ
"How to earn",獲得方法
"Spend points and receive discounts",ポイントを使って割引を受ける
"Total number of referred friends: %1",友人の総数：%1
"Or you may send this link in your messages to anyone",または、あなたのメッセージにこのリンクを誰にでも送ることができます
"Your Transactions",あなたの取引
"My Points",私のポイント
"Share & Save",共有して保存
History,歴史
"in %1 %2","%1 %2で"
"in %1 days",__1日以内に
"in %1 day",__1日以内に
"%1 %2 ago","%1 %2前"
"%1 days ago",%1日前
"%1 day ago",__1日前
"How to earn points",ポイントを獲得する方法
"You have invited %1 friends",あなたは%1人の友達を招待しました
"Share the referral link in the social media",ソーシャルメディアの紹介リンクを共有する
"You may send this link in your messages to anyone",あなたはあなたのメッセージにこのリンクを誰にでも送ることができます
"Page not found.",ページが見つかりません。
"%1 were applied.",%1が適用されました。
"Customer tier up",顧客層
"Customer tier down",顧客階層
"sum of earned points",得点の合計
"sum of spent %1",使用済みの合計%1
"Customer does not assign to website",顧客がウェブサイトに割り当てていない
"Payment Method",支払方法
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.",この層は%1顧客に割り当てられます。お客様を他の階層に再割り当てしてください。
"You Spend Points",あなたはポイントを使う
"Spend Amount",支出額
"Spend Minimum Points",最低限の支出
"Spend Maximum Points",最大ポイントを使う
"Cannot delete tier with id %1",%1のIDを持つ階層を削除できません
"Unable to find tier for customer ""%1"". Please check tier configuration.","顧客 &quot;%1&quot;の階層を見つけることができません。ティア構成を確認してください。"
"Customer Earning Style",顧客獲得スタイル
"Number of Points (X)",ポイント数（X）
"Step (Y)",ステップ（Y）
"In base currency",基本通貨で
"Quantity Step (Z)",数量ステップ（Z）
"Maximum number of earned points for one customer per day",1人の1日の獲得ポイントの最大数
"Set 0 to disable limit",制限を無効にするには0を設定します
"Do not change",変えないで
"Assign customer to Group",顧客をグループに割り当てる
"Earn Maximum",最大値を得る
"You can enter amount of points or percent. Leave empty to disable.",金額またはパーセントを入力することができます。無効にするには空のままにします。
"Maximum Distributed Points",最大分散点
Tiers,第三の
"%1 for each $%2","各$ %2について%1"
"All Groups",すべてのグループ
Actions,行動
"Points spending style",ポイント消費スタイル
"For each spent X points",使用済みXポイントごとに
"Number of points.",ポイント数。
"Customer receive Y discount",顧客はY割引を受け取る
"You can enter amount in base currency or percent. e.g. 100 or 5%.",金額は基本通貨またはパーセントで入力できます。例えば100または5％である。
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.",金額またはパーセントを入力することができます。例えば100または5％である。無効にするには空のままにします。
"Spend minimum",最低限支出
"Spend maximum",最大限支出
"Minimum sum of spent %1",使用済みの最小合計%1
"Minimum points number to reach the tier",ティアに到達するための最小ポイント数
"Delete the record with ID ""%1""",ID「%1」のレコードを削除する
"Are you sure you wan't to delete the record with ID ""%1""?",ID「%1」のレコードを削除することはできませんか？
"Anonymous visitor",匿名の訪問者
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","現在の階層は<a href=""#"" class=""open-popup""><b>%1です</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","てもらうこと<b>%1</b>獲得<a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%2</b>に行くには<a class=""open-popup""><b>%1</b></a>を<a class=""open-popup""><b>費やす</b></a>"
"in 1 day",1日で
"1 day ago",1日前
