"My Reward Points","נקודות התגמול שלי"
"Maximum number of earned points for one customer per day","מספר מרבי של נקודות שנצברו עבור לקוח אחד ליום"
"Set 0 to disable limit","הגדר 0 כדי להגביל את המגבלה"
"Do not change","אל תשתנה"
"Assign customer to Group","הקצה לקוח לקבוצה"
"Earn Maximum","להרוויח מקסימום"
"You can enter amount of points or percent. Leave empty to disable.","ניתן להזין כמות נקודות או אחוזים. השאר ריק כדי להשבית."
"Maximum Distributed Points","נקודות מבוזרות מקסימליות"
Tiers,ג
"%1 for each $%2","%1 עבור כל $ %2__"
"All Groups","כל הקבוצות"
Actions,פעולות
"Points spending style","נקודות סגנון ההוצאות"
"For each spent X points","עבור כל X נקודות"
"Number of points.","מספר נקודות."
"Customer receive Y discount","הלקוח לקבל הנחה Y"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","ניתן להזין סכום במטבע הבסיס או באחוזים. למשל 100 או 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","ניתן להזין כמות נקודות או אחוזים. למשל 100 או 5%. השאר ריק כדי להשבית."
"Spend minimum","הוצאה מינימלית"
"Spend maximum","הוצאה מקסימלית"
"Minimum sum of spent %1","סכום מינימלי של בילוי %1"
"Minimum points number to reach the tier","מספר נקודות מינימלי כדי להגיע לשכבה"
"Delete the record with ID ""%1""","מחק את הרשומה במזהה &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","האם אתה בטוח שאתה לא רוצה למחוק את הרשומה עם מזהה &quot;%1&quot;?"
"Anonymous visitor","מבקר אנונימי"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","השכבה הנוכחית שלך היא <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","להרוויח <b>%1</b> כדי להגיע אל <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","הוצא את <b>%1</b> כדי להגיע אל <a class=""open-popup""><b>%2</b></a>"
"in 1 day","ביום אחד"
"1 day ago","לפני 1 יום"
