"My Reward Points","Poin Hadiah Saya"
"Currency to Points","Mata Uang ke Poin"
"Customer Account > My Reward Points","Akun Pelanggan&gt; Poin Reward Saya"
"Customer Account > My Referrals","Akun Pelanggan&gt; Referensi Saya"
"Cart Page","Halaman Keranjang"
"Message Sent","Pesan terkirim"
"Signed Up",Mendaftar
"Made Order","Made Order"
"Visited by Referral Link","Dikunjungi oleh Tautan Referensi"
"Subtotal + Tax","Subtotal + Pajak"
"Subtotal + Tax + Shipping","Subtotal + Pajak + Pengiriman"
"Product Rule","Aturan Produk"
"Cart Rule","Aturan Keranjang"
"Behavior Rule","Aturan Perilaku"
"Transaction #%1 is expired","Transaksi #%1 berakhir"
"Update the Product","Perbarui Produk"
"Is Rewards Points used","Apakah Poin Imbalan digunakan"
"Coupon Used","Kupon Digunakan"
"Coupon Code","Kode Kupon"
No,Tidak
Yes,"Iya nih"
"Conditions Combination","Kombinasi Ketentuan"
"Product attribute combination","Kombinasi atribut produk"
"Products subselection","Subseleksi produk"
"Conditions combination","Kombinasi kondisi"
"Cart Attribute","Atribut Keranjang"
Customer,Pelanggan
"Last 7-days Clicks","Klik 7 Hari Terakhir"
"Last 7-days Orders","Pesanan 7-hari terakhir"
"Last 7-days Revenue","Pendapatan 7 Hari Terakhir"
"Is Referee","Apakah Wasit"
"Is Referral","Adalah Rujukan"
Email,E-mail
Group,Kelompok
"Lifetime Sales","Penjualan Seumur Hidup"
"Lifetime Spent Points","Poin Menghabiskan Lifetime"
"Number of Orders","Jumlah Pesanan"
"Is subscriber of newsletter","Apakah pelanggan newsletter"
"Number of reviews","Jumlah ulasan"
"Number of referred friends signups","Jumlah pendaftaran teman yang dirujuk"
"Number of referred friends orders","Jumlah pesanan teman yang diacu"
"Sum of referred friends orders","Jumlah pesanan teman yang diacu"
"Number of referrals who ordered at least once","Jumlah referal yang memesan setidaknya satu kali"
"Not registered","Tidak terdaftar"
"Attribute Set","Set Atribut"
Quantity,Kuantitas
"Product Type","Tipe produk"
"Base Image","Gambar Dasar"
Thumbnail,Thumbnail
"Small Image","Gambar Kecil"
"Base Image Size (bytes)","Ukuran Gambar Dasar (byte)"
"Thumbnail Size (bytes)","Ukuran Thumbnail (byte)"
"Small Image Size (bytes)","Ukuran Gambar Kecil (byte)"
"PHP Condition","Kondisi PHP"
"Base Price","Harga dasar"
"Final Price","Harga Akhir"
"Special Price","Harga spesial"
"Open Chooser","Buka Chooser"
"Referred: Group","Yang dimaksud: Group"
"Referred: Lifetime Sales","Yang dimaksud: Penjualan Seumur Hidup"
"Referred: Number of Orders","Disebut: Jumlah Pesanan"
"Referred: Is subscriber of newsletter","Yang dimaksud: Apakah pelanggan newsletter"
"Referred: Number of reviews","Yang dimaksud: Jumlah ulasan"
"Please specify a website.","Silakan tentukan situs web."
"Please specify a customer email.","Silakan tentukan email pelanggan."
"We found an invalid value in a website column.","Kami menemukan nilai yang tidak valid di kolom situs web."
"Please enter a valid email.","Tolong masukkan email yang benar."
"Please make sure attribute ""%1"" is not empty.","Pastikan atribut &quot;%1&quot; tidak kosong."
"We can't find a customer who matches this email and website code.","Kami tidak dapat menemukan pelanggan yang cocok dengan email dan kode situs web ini."
"-- Please Select --","-- Silahkan pilih --"
"Discount Used","Diskon digunakan"
"Custom Product Attributes","Atribut Produk Kustom"
"- Disable these emails -","- Nonaktifkan email ini -"
"Give X points to customer","Berikan poin X kepada pelanggan"
"Give X points for every spent Y","Berikan poin X untuk setiap Y yang dihabiskan"
"Give X points for every Z quantity","Berikan poin X untuk setiap jumlah Z"
"For every Y, give X points","Untuk setiap Y, berikan poin X"
Pending,"Menunggu keputusan"
Approved,Disetujui
Discarded,Dibuang
"You do not have permissions to create transactions. Please contact your site administrator.","Anda tidak memiliki izin untuk membuat transaksi. Silakan hubungi administrator situs Anda."
"%1 has been added.","%1 telah ditambahkan."
"%1 has been deducted.","%1 telah dipotong."
"You earned %1 and spent %2 for this order.","Anda memperoleh %1 dan membelanjakan %2 untuk pesanan ini."
"You spent %1 for this order.","Anda menghabiskan %1 untuk pesanan ini."
"You earned %1 for this order.","Anda memperoleh %1 untuk pesanan ini."
"Earned points will be enrolled to your account after we finish processing your order.","Perolehan poin akan didaftarkan ke akun Anda setelah kami selesai memproses pesanan Anda."
"Rewards error occurred on the server. Please try to place the order again.","Kesalahan hadiah terjadi di server. Silakan coba untuk menempatkan pesanan lagi."
"Earn at least %1 %2","Dapatkan setidaknya %1 %2"
"Reward Points","Poin Hadiah"
Edit,Edit
Back,Kembali
Delete,Menghapus
"Are you sure you want to do this?","Anda yakin ingin melakukan ini?"
Reset,"Setel ulang"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
Save,Menyimpan
"Delete the record with ID ""${ $.$data.transaction_id }""","Hapus catatan dengan ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Anda yakin tidak ingin menghapus data dengan ID &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Ringkasan Poin"
"To unsubscribe from points expiring notification click %1","Untuk berhenti berlangganan dari titik pemberitahuan berakhir, klik %1"
"You have <b>%1</b> in your account.","Anda memiliki <b>%1</b> di akun Anda."
"Transactions History","Riwayat Transaksi"
ID,ID
Comment,Komentar
Points,Poin
Created,Dibuat
Expires,Kedaluwarsa
"There are no Transactions.","Tidak ada Transaksi."
"Pending Transactions","Transaksi yang Menunggu Keputusan"
Order,Memesan
Status,Status
"Your points balance will expire in %1 days.","Saldo poin Anda akan berakhir dalam %1 hari."
"Visit My Reward Points Section","Kunjungi Bagian Poin Hadiah Saya"
"Login to earn %1 for sharing!","Masuk untuk mendapatkan %1 untuk berbagi!"
"Earn %1 for sharing!","Hasilkan %1 untuk dibagikan!"
"Like this page and earn %1","Suka halaman ini dan dapatkan %1"
Share,Bagikan
"Share this page and earn %1","Bagikan halaman ini dan dapatkan %1"
"Plus this page and earn %1","Tambah halaman ini dan dapatkan %1"
"Pin this page and earn %1","Sematkan halaman ini dan dapatkan %1"
"Refer Friends","Referensikan Teman"
"Refer friend and earn %1. More friends more points!","Referensikan teman dan dapatkan %1. Lebih banyak teman lebih banyak poin!"
Tweet,Menciak
"Tweet this page and earn %1","Tweet halaman ini dan dapatkan %1"
"Check this out!","Lihat ini!"
"You have <b>%1</b> available.","Anda memiliki <b>%1</b> tersedia."
"Enter amount of points to spend:","Masukkan jumlah poin untuk dibelanjakan:"
"Use maximum %1","Gunakan %1 maksimum"
"Apply Points","Terapkan Poin"
Apply,Menerapkan
"Cancel Points","Batalkan Poin"
Cancel,Membatalkan
"Use %1","Gunakan %1"
"You Earn","Kamu mendapat"
"You Spend","Kamu menghabiskan"
"Discount amount","Jumlah diskon"
"Use Reward Points","Gunakan Poin Reward"
"This is a required field","Ini adalah kolom yang harus diisi"
"Subscription to Points Expiration Notification","Berlangganan ke Poin Kedaluwarsa Pemberitahuan"
"Earning %1","Hasilkan %1"
"Buy to earn %1","Beli untuk mendapatkan %1"
"You'll earn %1 for this item","Anda akan mendapatkan %1 untuk item ini"
"Share with Friends","Bagikan dengan Teman"
"Share the referral link in the social media and get points!","Bagikan tautan rujukan di media sosial dan dapatkan poin!"
"Tweet on Twitter","Tweet di Twitter"
"Your referral link:","Tautan rujukan Anda:"
"Send Invitations","Mengirim undangan"
"Enter contacts of your friends to invite them.","Masukkan kontak teman-teman Anda untuk mengundang mereka."
Name,Nama
Message,Pesan
Referrals,Referensi
"Referred by link","Disebut oleh tautan"
"There are no Referrals","Tidak ada Referensi"
"You have","Kamu punya"
available.,tersedia.
"Use maximum","Gunakan maksimal"
"Enter amount of points to spend","Masukkan jumlah poin untuk dibelanjakan"
Use,Menggunakan
"Notification Rules' messages","Pesan Notification Rules"
Template,Template
"Notification Rule Template","Kerangka Aturan Pemberitahuan"
"My Referrals","Referensi saya"
"Referrals List","Daftar Rujukan"
today,"hari ini"
ago,lalu
"Cannot delete transaction with id %1","Tidak dapat menghapus transaksi dengan id %1"
"Expires in","Kadaluarsa dalam"
"How to earn","Cara menghasilkan"
"Spend points and receive discounts","Habiskan poin dan dapatkan diskon"
"Total number of referred friends: %1","Jumlah total teman yang dirujuk: %1"
"Or you may send this link in your messages to anyone","Atau Anda dapat mengirim tautan ini dalam pesan Anda kepada siapa pun"
"Your Transactions","Transaksi Anda"
"My Points","Poin saya"
"Share & Save","Bagikan &amp; Simpan"
History,Sejarah
"in %1 %2","di %1 %2"
"in %1 days","dalam %1 hari"
"in %1 day","di %1 hari"
"%1 %2 ago","%1 %2 yang lalu"
"%1 days ago","%1 hari yang lalu"
"%1 day ago","__1 hari yang lalu"
"How to earn points","Cara mendapatkan poin"
"You have invited %1 friends","Anda telah mengundang %1 teman"
"Share the referral link in the social media","Bagikan tautan rujukan di media sosial"
"You may send this link in your messages to anyone","Anda dapat mengirim tautan ini dalam pesan Anda kepada siapa pun"
"Page not found.","Halaman tidak ditemukan."
"Customer tier up","Tingkat pelanggan"
"Customer tier down","Tingkat pelanggan turun"
"sum of earned points","jumlah poin yang diterima"
"sum of spent %1","jumlah dari menghabiskan %1"
"Customer does not assign to website","Pelanggan tidak menetapkan ke situs web"
"Payment Method","Metode pembayaran"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Tingkat ini ditetapkan untuk %1 pelanggan (s). Harap tetapkan kembali pelanggan ke tingkat lain."
"You Spend Points","Anda Menghabiskan Poin"
"Spend Amount","Habiskan Jumlah"
"Spend Minimum Points","Habiskan Poin Minimum"
"Spend Maximum Points","Belanjakan Poin Maksimum"
"Cannot delete tier with id %1","Tidak dapat menghapus tier dengan id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Tidak dapat menemukan tingkat untuk pelanggan &quot;%1&quot;. Silakan periksa konfigurasi tier."
"Customer Earning Style","Gaya Penghasilan Pelanggan"
"Number of Points (X)","Jumlah Poin (X)"
"Step (Y)","Langkah (Y)"
"In base currency","Dalam mata uang dasar"
"Quantity Step (Z)","Langkah Kuantitas (Z)"
"Maximum number of earned points for one customer per day","Jumlah maksimum poin yang diterima untuk satu pelanggan per hari"
"Set 0 to disable limit","Atur 0 untuk menonaktifkan batas"
"Do not change","Jangan berubah"
"Assign customer to Group","Tetapkan pelanggan ke Grup"
"Earn Maximum","Hasilkan Maksimum"
"You can enter amount of points or percent. Leave empty to disable.","Anda dapat memasukkan jumlah poin atau persen. Biarkan kosong untuk menonaktifkan."
"Maximum Distributed Points","Poin Terdistribusi Maksimum"
Tiers,Ketiga
"%1 for each $%2","%1 untuk setiap $ %2"
"All Groups","Semua Grup"
Actions,Tindakan
"Points spending style","Gaya pembelanjaan poin"
"For each spent X points","Untuk setiap poin X yang dihabiskan"
"Number of points.","Jumlah poin."
"Customer receive Y discount","Pelanggan menerima diskon Y."
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Anda dapat memasukkan jumlah dalam mata uang dasar atau persen. misal 100 atau 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Anda dapat memasukkan jumlah poin atau persen. misal 100 atau 5%. Biarkan kosong untuk menonaktifkan."
"Spend minimum","Habiskan minimum"
"Spend maximum","Habiskan maksimal"
"Minimum sum of spent %1","Jumlah minimum dari %1 yang dibelanjakan"
"Minimum points number to reach the tier","Jumlah poin minimum untuk mencapai tier"
"Delete the record with ID ""%1""","Hapus rekaman dengan ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Anda yakin tidak ingin menghapus rekaman dengan ID &quot;%1&quot;?"
"Anonymous visitor","Pengunjung anonim"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Tingkat Anda saat ini adalah <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Dapatkan <b>%1</b> untuk mendapatkan <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Belanjakan <b>%1</b> untuk sampai ke <a class=""open-popup""><b>%2</b></a>"
"in 1 day","dalam 1 hari"
"1 day ago","1 hari yang lalu"
