"My Reward Points","Mine belønningspoeng"
"Enter amount of points to spend","Skriv inn antall poeng å bruke"
Use,Bruk
"Notification Rules' messages","Meldingsregler &#39;meldinger"
Template,Mal
"Notification Rule Template",Meldingsregelmal
"My Referrals","Mine henvisninger"
today,"i dag"
ago,siden
"Cannot delete transaction with id %1","Kan ikke slette transaksjon med ID %1"
"Expires in","Utgår om"
"How to earn","Hvordan tjene du"
"Spend points and receive discounts","Tilbring poeng og motta rabatter"
"Total number of referred friends: %1","Totalt antall henvist venner: %1"
"Or you may send this link in your messages to anyone","Eller du kan sende denne lenken i dine meldinger til noen"
"Your Transactions","Dine transaksjoner"
"My Points","Mine poeng"
"Share & Save","Del og lagre"
History,Historie
"Referrals List",Henvisningsliste
"in %1 %2","i %1 %2"
"in %1 days","i %1 dager"
"in %1 day","i %1 dag"
"%1 %2 ago","%1 %2 siden"
"%1 days ago","%1 dager siden"
"%1 day ago","%1 dag siden"
"How to earn points","Hvordan tjene poeng"
"You have invited %1 friends","Du har invitert %1 venner"
"Share the referral link in the social media","Del henvisningskoblingen i sosiale medier"
"You may send this link in your messages to anyone","Du kan sende denne lenken i dine meldinger til noen"
"Page not found.","Side ikke funnet."
"Customer tier up","Kunden tier opp"
"Customer tier down","Kunde tier ned"
"sum of earned points","summen av opptjente poeng"
"sum of spent %1","summen av brukt %1"
"Customer does not assign to website","Kunden overfører ikke til nettsiden"
"Payment Method",Betalingsmetode
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Denne delen er tildelt %1 kunde (e). Vennligst tilordne kunde (e) til annen tier."
"You Spend Points","Du bruker poeng"
"Spend Amount","Tilbring beløp"
"Spend Minimum Points","Tilbring minimumspunkter"
"Spend Maximum Points","Tilbring maksimale poeng"
"Cannot delete tier with id %1","Kan ikke slette nivå med id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Kan ikke finne nivå for kunde &quot;%1&quot;. Vennligst sjekk tierkonfigurasjon."
"Customer Earning Style",Kundefortjenestestil
"Number of Points (X)","Antall poeng (X)"
"Step (Y)","Trinn (Y)"
"In base currency","I basisvaluta"
"Quantity Step (Z)","Antall trinn (Z)"
"Maximum number of earned points for one customer per day","Maksimum antall opptjente poeng for en kunde per dag"
"Set 0 to disable limit","Angi 0 for å deaktivere grensen"
"Do not change","Ikke forandre"
"Assign customer to Group","Tilordne kunde til gruppe"
"Earn Maximum","Tjen Maksimal"
"You can enter amount of points or percent. Leave empty to disable.","Du kan angi antall poeng eller prosent. La tomt for å deaktivere."
"Maximum Distributed Points","Maksimale fordelte poeng"
Tiers,Tredje
"%1 for each $%2","%1 for hver $ %2"
"All Groups","Alle grupper"
Actions,Handlinger
"Points spending style","Poeng utgifter stil"
"For each spent X points","For hver brukt X-poeng"
"Number of points.","Antall poeng."
"Customer receive Y discount","Kunden får Y-rabatt"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Du kan angi beløp i basisvaluta eller prosent. f.eks. 100 eller 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Du kan angi antall poeng eller prosent. f.eks. 100 eller 5%. La tomt for å deaktivere."
"Spend minimum","Tilbring minimum"
"Spend maximum","Tilbring maksimalt"
"Minimum sum of spent %1","Minste sum av brukt %1"
"Minimum points number to reach the tier","Minimum poengnummer for å nå nivået"
"Delete the record with ID ""%1""","Slett posten med ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Er du sikker på at du vil slette posten med ID &quot;%1&quot;?"
"Anonymous visitor","Anonym besøkende"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Din nåværende tier er <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Tjen <b>%1 for</b> å komme til <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Tilbring <b>%1 for</b> å komme til <a class=""open-popup""><b>%2</b></a>"
"in 1 day","om 1 dag"
"1 day ago","For 1 dag siden"
