"My Reward Points","Reward pontok"
"Use maximum %1","Legfeljebb %1"
"Apply Points","Pontok alkalmazása"
Apply,Alkalmaz
"Cancel Points","Pontok törlése"
Cancel,Megszünteti
"Use %1","Használd %1"
"You Earn","Ön keres"
"You Spend","Ön költ"
"Discount amount","Kedvezmény mértéke"
"Use Reward Points","Használja a jutalmazási pontokat"
"This is a required field","Ez kötelezően kitöltendő mező"
"Subscription to Points Expiration Notification","Feliratkozás pontok lejárati értesítésére"
"Earning %1","Kereset %1"
"Buy to earn %1","Vásároljon keresni %1"
"You'll earn %1 for this item","Ezt az elemet keresni %1"
"Share with Friends","Oszd meg a barátaiddal"
"Share the referral link in the social media and get points!","Ossza meg a hivatkozási linket a közösségi médiában és szerezzen pontokat!"
"Tweet on Twitter","Tweet a Twitteren"
"Your referral link:","Az Ön hivatkozási linkje:"
"Send Invitations","Küldjön meghívókat"
"Enter contacts of your friends to invite them.","Adja meg ismerőseinek kapcsolatait, hogy meghívja őket."
Name,Név
Message,Üzenet
Referrals,Ajánlók
"Referred by link","Link által hivatkozott"
"There are no Referrals","Nincsenek hivatkozások"
"You have","Neked van"
available.,elérhető.
"Use maximum","Használja maximálisan"
"Enter amount of points to spend","Írja be a költeni kívánt összegeket"
Use,Használat
"Notification Rules' messages","Értesítési szabályok &quot;üzeneteket"
Template,Sablon
"Notification Rule Template","Értesítési szabály sablon"
"My Referrals","Saját hivatkozások"
"Referrals List","Referrálási lista"
today,Ma
ago,ezelőtt
"Cannot delete transaction with id %1","Nem sikerült törölni a tranzakciót azonosítóval %1"
"Expires in",Lejár
"How to earn","Hogyan lehet keresni"
"Spend points and receive discounts","Töltsön pontokat és kap kedvezményeket"
"Total number of referred friends: %1","Összesített barátok száma: %1"
"Or you may send this link in your messages to anyone","Vagy elküldheti ezt a linket az üzenetekbe bárkinek"
"Your Transactions","A tranzakciók"
"My Points","Saját pontok"
"Share & Save","Megosztás és mentés"
History,Történelem
"in %1 %2","%1 %2"
"in %1 days","%1 nap alatt"
"in %1 day","%1 napban"
"%1 %2 ago","%1 %2 ezelőtt"
"%1 days ago","%1 napja"
"%1 day ago","__1 napja"
"How to earn points","Hogyan szerezz pontokat"
"You have invited %1 friends","Meghívott %1 barátokat"
"Share the referral link in the social media","Ossza meg a hivatkozási linket a közösségi médiában"
"You may send this link in your messages to anyone","Ezt a linket elküldheti üzenetekbe bárkinek"
"Page not found.","Az oldal nem található."
"Customer tier up","Ügyfélszintű fel"
"Customer tier down","Ügyfélszintű le"
"sum of earned points","a megszerzett pontok összege"
"sum of spent %1","a töltött összeg %1"
"Customer does not assign to website","Az ügyfél nem rendel a webhelyhez"
"Payment Method","Fizetési mód"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Ezt a szintet %1 ügyfél (ek) hez rendelik. Kérjük, rendelje át az ügyfél (k) más szintre."
"You Spend Points","Spóroljon pontokat"
"Spend Amount","Költség összege"
"Spend Minimum Points","Tölts le minimális pontokat"
"Spend Maximum Points","Töltsön maximális pontokat"
"Cannot delete tier with id %1","Nem törölhető szint a következővel: id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Nem található a &quot;%1&quot; ügyfél számára. Kérjük, ellenőrizze a szint beállításait."
"Customer Earning Style","Ügyfélszerzési stílus"
"Number of Points (X)","Pontok száma (X)"
"Step (Y)","Lépés (Y)"
"In base currency","Alap pénznemben"
"Quantity Step (Z)","Mennyiség lépés (Z)"
"Maximum number of earned points for one customer per day","Napi egy ügyfél által elért pontok maximális száma"
"Set 0 to disable limit","Állítsa 0-ra a korlátozás letiltásához"
"Do not change","Ne változz"
"Assign customer to Group","Ügyfél hozzárendelése a csoporthoz"
"Earn Maximum","Keress maximumot"
"You can enter amount of points or percent. Leave empty to disable.","Adhatja meg a pontok vagy százalékok összegét. Hagyja üresen a letiltást."
"Maximum Distributed Points","Maximális elosztott pontok"
Tiers,Harmadik
"%1 for each $%2","%1 minden $ %2 számára"
"All Groups","Minden csoport"
Actions,Hozzászólások
"Points spending style","Pont a kiadási stílus"
"For each spent X points","Minden egyes elköltött X pontnál"
"Number of points.",Pontszám.
"Customer receive Y discount","Az ügyfél megkapja az Y engedményt"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Beírhatja az összeget alap pénznemben vagy százalékban. pl. 100 vagy 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Adhatja meg a pontok vagy százalékok összegét. pl. 100 vagy 5%. Hagyja üresen a letiltást."
"Spend minimum","Töltsön minimumot"
"Spend maximum","Töltsön maximumot"
"Minimum sum of spent %1","Az elköltött összeg legkisebb összege %1"
"Minimum points number to reach the tier","Minimális pontszám a szint eléréséhez"
"Delete the record with ID ""%1""","Törölje a rekordot azonosítóval &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Biztos benne, hogy nem törli a rekordot azonosítóval &quot;%1&quot;?"
"Anonymous visitor","Névtelen látogató"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Az aktuális szintje <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Szerezz <b>%1-</b> ot <a class=""open-popup""><b>%2-hoz</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Töltsön <b>%1-</b> t <a class=""open-popup""><b>%2-hoz</b></a>"
"in 1 day","1 nap alatt"
"1 day ago","1 napja"
