"My Reward Points","Meus pontos de recompensa"
"Your Transactions","Suas transações"
"My Points","Meus pontos"
"Share & Save","Compartilhar salvar"
History,História
"in %1 %2","em %1 %2"
"in %1 days","em %1 dias"
"in %1 day","em %1 dia"
"%1 %2 ago","%1 %2 atrás"
"%1 days ago","%1 dias atrás"
"%1 day ago","__1 dia atrás"
"How to earn points","Como ganhar pontos"
"You have invited %1 friends","Você convidou %1 amigos"
"Share the referral link in the social media","Compartilhe o link de referência nas redes sociais"
"You may send this link in your messages to anyone","Você pode enviar este link em suas mensagens para qualquer pessoa"
"Page not found.","Página não encontrada."
"Customer tier up","Customer tier up"
"Customer tier down",
"sum of earned points","soma de pontos ganhos"
"sum of spent %1","soma dos gastos %1"
"Customer does not assign to website","O cliente não atribui ao site"
"Payment Method","Método de pagamento"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Essa camada é atribuída a %1 cliente (s). Por favor, transfira o (s) cliente (s) para outro nível."
"You Spend Points","Você gasta pontos"
"Spend Amount","Quantidade de gastos"
"Spend Minimum Points","Gastar Pontos Mínimos"
"Spend Maximum Points","Gastar Máximo de Pontos"
"Cannot delete tier with id %1","Não é possível excluir a camada com o ID %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Não foi possível encontrar o nível para o cliente &quot;%1&quot;. Por favor, verifique a configuração da camada."
"Customer Earning Style","Estilo de ganho do cliente"
"Number of Points (X)","Número de pontos (X)"
"Step (Y)","Passo (Y)"
"In base currency","Na moeda base"
"Quantity Step (Z)","Quantidade passo (Z)"
"Maximum number of earned points for one customer per day","Número máximo de pontos ganhos para um cliente por dia"
"Set 0 to disable limit","Definir 0 para desativar o limite"
"Do not change","Não mude"
"Assign customer to Group","Atribuir cliente ao grupo"
"Earn Maximum","Ganhar o máximo"
"You can enter amount of points or percent. Leave empty to disable.","Você pode inserir quantidade de pontos ou porcentagem. Deixe em branco para desativar."
"Maximum Distributed Points","Pontos Máximos Distribuídos"
Tiers,Terceiro
"%1 for each $%2","%1 para cada $ %2"
"All Groups","Todos os grupos"
Actions,Ações
"Points spending style","Pontos gastando estilo"
"For each spent X points","Para cada X pontos gastos"
"Number of points.","Número de pontos."
"Customer receive Y discount","Cliente recebe desconto Y"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Você pode inserir o valor na moeda base ou porcentagem. por exemplo, 100 ou 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Você pode inserir quantidade de pontos ou porcentagem. por exemplo, 100 ou 5%. Deixe em branco para desativar."
"Spend minimum","Gastar minimo"
"Spend maximum","Gastar o máximo"
"Minimum sum of spent %1","Soma mínima de gasto %1"
"Minimum points number to reach the tier","Número mínimo de pontos para alcançar o nível"
"Delete the record with ID ""%1""","Excluir o registro com o ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Tem certeza de que não deseja excluir o registro com o ID &quot;%1&quot;?"
"Anonymous visitor","Visitante anônimo"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Seu nível atual é <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Ganhe <b>%1</b> para chegar a <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Gastar <b>%1</b> para chegar a <a class=""open-popup""><b>%2</b></a>"
"in 1 day","em 1 dia"
"1 day ago","1 dia atrás"
