"My Reward Points","Мои бонусные очки"
"Are you sure you want to do this?","Вы уверены, что хотите это сделать?"
Reset,Сброс
"Save and Continue Edit","Сохранить и продолжить редактирование"
Save,Сохранить
"Delete the record with ID ""${ $.$data.transaction_id }""","Удалите запись с идентификатором ""${ $.$data.transaction_id }"""
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Вы уверены, что не хотите удалять запись с идентификатором ""${ $.$data.transaction_id }""?"
"Points Summary","Обзор очков"
"To unsubscribe from points expiring notification click %1","Чтобы отказаться от подписки на исходящие уведомления о точках, нажмите %1"
"You have <b>%1</b> in your account.","У вас <b>%1</b> на вашем счете."
"Transactions History","История транзакций"
ID,"ID"
Comment,Комментарий
Points,Точки
Created,Созданный
Expires,Истекает
"There are no Transactions.","Сделок нет."
"Pending Transactions","Ожидаемые транзакции"
Order,Порядок
Status,"Положение дел"
"Your points balance will expire in %1 days.","Баланс ваших очков истечет через %1 дня."
"Visit My Reward Points Section","Посетите раздел «Мои награды»"
"Login to earn %1 for sharing!","Войдите, чтобы заработать %1 для обмена!"
"Earn %1 for sharing!","Заработайте %1 за обмен!"
"Like this page and earn %1","Как эта страница и заработайте %1"
Share,Поделиться
"Share this page and earn %1","Поделитесь этой страницей и заработайте %1"
"Plus this page and earn %1","Плюс эту страницу и зарабатывайте %1"
"Pin this page and earn %1","Запишите эту страницу и заработайте %1"
"Refer Friends","Отправить друзьям"
"Refer friend and earn %1. More friends more points!","Обратитесь к другу и заработайте %1. Больше друзей больше очков!"
Tweet,Чирикать
"Tweet this page and earn %1","Tweet эту страницу и зарабатывайте %1"
"Check this out!","Проверь это!"
"You have <b>%1</b> available.","У вас есть <b>%1</b> ."
"Enter amount of points to spend:","Введите количество очков, которые нужно потратить:"
"Use maximum %1","Использовать максимум %1"
"Apply Points","Применить баллы"
Apply,"Подать заявление"
"Cancel Points","Отменить баллы"
Cancel,Отмена
"Use %1","Используйте 1"
"You Earn","Вы зарабатываете"
"You Spend","Ты тратишь"
"Discount amount","Сумма скидки"
"Use Reward Points","Использовать очки вознаграждения"
"This is a required field","Это поле обязательно для заполнения"
"Subscription to Points Expiration Notification","Подписка на уведомления об истечении срока действия очков"
"Earning %1","Заработок %1"
"Buy to earn %1","Купить, чтобы заработать %1"
"You'll earn %1 for this item","Вы заработаете %1 за этот товар"
"Share with Friends","Поделиться с друзьями"
"Share the referral link in the social media and get points!","Поделитесь реферальной ссылкой в ​​социальных сетях и получите очки!"
"Tweet on Twitter","Tweet на Twitter"
"Your referral link:","Ваша реферальная ссылка:"
"Send Invitations","Отправить приглашения"
"Enter contacts of your friends to invite them.","Введите контакты своих друзей, чтобы пригласить их."
Name,Имя
Message,Сообщение
Referrals,Переходов
"Referred by link","Ссылка по ссылке"
"There are no Referrals","Нет рефералов"
"You have","У тебя есть"
available.,доступный.
"Use maximum","Использовать максимум"
"Enter amount of points to spend","Введите количество очков, которые нужно потратить"
Use,Использование
"Notification Rules' messages","Сообщения об уведомлениях"
Template,Шаблон
"Notification Rule Template","Шаблон правила уведомления"
"My Referrals","Мои рефералы"
"Referrals List","Список рефералов"
today,Cегодня
ago,"тому назад"
"Cannot delete transaction with id %1","Невозможно удалить транзакцию с идентификатором %1"
"Expires in",Истекает
"How to earn","Как заработать"
"Spend points and receive discounts","Проводить пункты и получать скидки"
"Total number of referred friends: %1","Общее количество упомянутых друзей: %1"
"Or you may send this link in your messages to anyone","Или вы можете отправить эту ссылку в своих сообщениях кому угодно"
"Your Transactions","Ваши транзакции"
"My Points","Мои очки"
"Share & Save","Поделиться Сохранить"
History,История
"in %1 day","через %1 день"
"in %1 %2","через %1 дня"
"in %1 days","через %1 дней"
"%1 day ago","%1 день назад"
"%1 %2 ago","%1 дня назад"
"%1 days ago","%1 дней назад"

"How to earn points","Как заработать очки"
"You have invited %1 friends","Вы пригласили друзей %1"
"Share the referral link in the social media","Доля реферальной ссылки в социальных сетях"
"You may send this link in your messages to anyone","Вы можете отправить эту ссылку в свои сообщения кому угодно"
"Page not found.","Страница не найдена."
"%1 were applied.","%1 были применены."
"Customer tier up","Уровень клиента"
"Customer tier down","Уровень клиента вниз"
"sum of earned points","сумма заработанных баллов"
"sum of spent %1","сумма потрачена %1"
"Customer does not assign to website","Клиент не назначает сайт"
"Payment Method","Способ оплаты"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Этот уровень назначается для %1 клиентов. Пожалуйста, переназначьте клиентов на другой уровень."
"You Spend Points","Вы тратите очки"
"Spend Amount","Потратить сумму"
"Spend Minimum Points","Потратьте минимум очков"
"Spend Maximum Points","Потратьте максимум очков"
"Cannot delete tier with id %1","Невозможно удалить уровень с идентификатором %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Невозможно найти уровень для клиента &quot;%1&quot;. Пожалуйста, проверьте конфигурацию уровня."
"Customer Earning Style","Стиль заработка клиентов"
"Number of Points (X)","Количество очков (X)"
"Step (Y)","Шаг (Y)"
"In base currency","В базовой валюте"
"Quantity Step (Z)","Шаг количества (Z)"
"Maximum number of earned points for one customer per day","Максимальное количество заработанных баллов для одного клиента в день"
"Set 0 to disable limit","Установите 0, чтобы отключить ограничение"
"Do not change","Не меняй"
"Assign customer to Group","Назначить клиента в группу"
"Earn Maximum","Заработай максимум"
"You can enter amount of points or percent. Leave empty to disable.","Вы можете ввести количество очков или процентов. Оставьте пустым, чтобы отключить."
"Maximum Distributed Points","Максимальное количество распределенных баллов"
Tiers,Третий
"%1 for each $%2","%1 за каждые $ %2"
"All Groups","Все группы"
Actions,Действия
"Points spending style","Стиль очков"
"For each spent X points","За каждый потраченный X баллов"
"Number of points.","Количество баллов."
"Customer receive Y discount","Клиент получает Y скидку"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Вы можете ввести сумму в базовой валюте или процентах. например, 100 или 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Вы можете ввести количество очков или процентов. например, 100 или 5%. Оставьте пустым, чтобы отключить."
"Spend minimum","Потратить минимум"
"Spend maximum","Потратить максимум"
"Minimum sum of spent %1","Минимальная сумма потраченных %1"
"Minimum points number to reach the tier","Минимальное количество баллов для достижения уровня"
"Delete the record with ID ""%1""","Удалить запись с идентификатором &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Вы уверены, что не хотите удалить запись с идентификатором &quot;%1&quot;?"
"Anonymous visitor","Анонимный посетитель"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Ваш текущий уровень <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Заработайте <b>%1,</b> чтобы получить <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Потратьте <b>%1,</b> чтобы добраться до <a class=""open-popup""><b>%2</b></a>"
"in 1 day","через 1 день"
"1 day ago","1 день назад"
