"My Reward Points","Moje punkty nagrody"
"Share the referral link in the social media and get points!","Udostępnij link polecający w mediach społecznościowych i zdobywaj punkty!"
"Tweet on Twitter","Tweet na Twitterze"
"Your referral link:","Twój link referencyjny:"
"Send Invitations","Wysyłać zaproszenia"
"Enter contacts of your friends to invite them.","Wprowadź kontakty znajomych, aby je zaprosić."
Name,Nazwa
Message,Wiadomość
Referrals,Polecenia
"Referred by link","Polecono przez link"
"There are no Referrals","Brak poleconych"
"You have","Ty masz"
available.,dostępny.
"Use maximum","Użyj maksimum"
"Enter amount of points to spend","Wprowadź ilość punktów do wydania"
Use,"Posługiwać się"
"Notification Rules' messages","Reguły powiadomień"
Template,Szablon
"Notification Rule Template","Szablon reguły powiadamiania"
"My Referrals","Moi poleceni"
"Referrals List","Lista poleconych"
today,dzisiaj
ago,temu
"Cannot delete transaction with id %1","Nie można usunąć transakcji o identyfikatorze %1"
"Expires in","Wygasa za"
"How to earn","Jak zarobić"
"Spend points and receive discounts","Wydawaj punkty i otrzymuj zniżki"
"Total number of referred friends: %1","Łączna liczba poleconych znajomych: %1"
"Or you may send this link in your messages to anyone","Możesz też wysłać ten link w swoich wiadomościach do wszystkich osób"
"Your Transactions","Twoje transakcje"
"My Points","Moje punkty"
"Share & Save","Udostępnij zapis"
History,Historia
"in %1 %2","w %1 %2"
"in %1 days","za %1 dni"
"in %1 day","w %1 dniu"
"%1 %2 ago","%1 %2 temu"
"%1 days ago","%1 dni temu"
"%1 day ago","__1 dzień temu"
"How to earn points","Jak zdobywać punkty"
"You have invited %1 friends","Zaprosiłeś znajomych %1"
"Share the referral link in the social media","Udostępnij link polecający w mediach społecznościowych"
"You may send this link in your messages to anyone","Możesz wysłać ten link w swoich wiadomościach do wszystkich osób"
"Page not found.","Strona nie znaleziona."
"Customer tier up","Poziom klienta w górę"
"Customer tier down","Klasyfikacja klienta w dół"
"sum of earned points","suma uzyskanych punktów"
"sum of spent %1","suma wydanych %1"
"Customer does not assign to website","Klient nie przypisuje strony internetowej"
"Payment Method","Metoda płatności"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Ta warstwa jest przypisana do %1 klienta (ów). Zmień przypisanie klienta (klientów) na inny poziom."
"You Spend Points","Wydajesz punkty"
"Spend Amount","Wydaj kwotę"
"Spend Minimum Points","Wydaj minimalne punkty"
"Spend Maximum Points","Wydaj maksymalne punkty"
"Cannot delete tier with id %1","Nie można usunąć warstwy o numerze %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Nie można znaleźć warstwy dla klienta &quot;%1&quot;. Sprawdź konfigurację warstw."
"Customer Earning Style","Styl zarabiania przez klienta"
"Number of Points (X)","Liczba punktów (X)"
"Step (Y)","Krok (Y)"
"In base currency","W walucie bazowej"
"Quantity Step (Z)","Krok ilościowy (Z)"
"Maximum number of earned points for one customer per day","Maksymalna liczba zdobytych punktów dla jednego klienta dziennie"
"Set 0 to disable limit","Ustaw 0, aby wyłączyć limit"
"Do not change","Nie zmieniaj"
"Assign customer to Group","Przydziel klienta do grupy"
"Earn Maximum","Zarób maksimum"
"You can enter amount of points or percent. Leave empty to disable.","Możesz wpisać liczbę punktów lub procent. Pozostaw puste, aby wyłączyć."
"Maximum Distributed Points","Maksymalna rozproszone punkty"
Tiers,Trzeci
"%1 for each $%2","%1 za każde $ %2"
"All Groups","Wszystkie grupy"
Actions,Działania
"Points spending style","Styl wydawania punktów"
"For each spent X points","Za każde zużyte X punktów"
"Number of points.","Liczba punktów."
"Customer receive Y discount","Klient otrzymuje zniżkę Y."
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Możesz wprowadzić kwotę w walucie podstawowej lub procencie. np. 100 lub 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Możesz wpisać liczbę punktów lub procent. np. 100 lub 5%. Pozostaw puste, aby wyłączyć."
"Spend minimum","Wydaj minimum"
"Spend maximum","Wydaj maksymalnie"
"Minimum sum of spent %1","Minimalna kwota wydanych %1"
"Minimum points number to reach the tier","Minimalna liczba punktów do osiągnięcia poziomu"
"Delete the record with ID ""%1""","Usuń rekord z identyfikatorem &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Czy na pewno chcesz usunąć rekord z identyfikatorem &quot;%1&quot;?"
"Anonymous visitor","Anonimowy użytkownik"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Twoja aktualna warstwa to <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Zarób <b>%1,</b> aby dostać się do <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Wydaj <b>%1,</b> aby dostać się do <a class=""open-popup""><b>%2</b></a>"
"in 1 day","za 1 dzień"
"1 day ago","1 dzień temu"
