"My Reward Points","Моите награди за награди"
"Strip Tags","Стрип тагови"
"Primary Attributes","Основни атрибути"
"Stock Attributes","Атрибути на акции"
"Prices & Taxes","Цени и даноци"
Images,Слики
"Custom Attributes","Прилагодени атрибути"
Mapping,Мапирање
Category,Категорија
"Amasty Meta Tags","Amasty Мета Тагови"
"Others Attributes","Други атрибути"
Flexible,Флексибилни
Fixed,Фиксна
"Customer signs up in store","Клиентот се пријавува во продавница"
"Customer places order","Нарачка на купувачи"
"Customer refer a friend","Клиентот упатува пријател"
"Customer adds tag to a product","Клиентот додава ознака за производот"
"Customer writes a product review","Клиентот пишува преглед на производ"
"Customer has a birthday","Клиентот има роденден"
"Customer is inactive for long time","Клиентот е неактивен долго време"
"Newsletter sign up","Билтен се регистрирате"
"Facebook Share","Фејсбук Сподели"
"Facebook Like","Фејсбук како"
"Twitter Tweet","Твитер Tweet"
"Google+ Like","Како Google+"
"Pinterest Pin","Pinterest Пин"
"Customer joins the affiliate program","Клиентот се придружува на affiliate програмата"
"Push Notifications sign up","Потписни известувања се регистрираат"
"Referred customer signs up in store","Одредениот клиент се пријавува во продавница"
"Order from referred customer","Нарачка од наведениот клиент"
"Points to Currency","Поени кон валутата"
"Currency to Points","Валута за поени"
"Customer Account > My Reward Points","Клиентска сметка&gt; Мои бодови"
"Customer Account > My Referrals","Клиентска сметка&gt; Мои препораки"
"Cart Page",Кошничката
"Message Sent","Испратена порака"
"Signed Up",Регистрираш
"Made Order","Направен ред"
"Visited by Referral Link","Посетено од Линк за упатување"
"Subtotal + Tax","Субнотен + данок"
"Subtotal + Tax + Shipping","Субнотен + данок + Испорака"
"Product Rule","Правило на производот"
"Cart Rule","Правило на количката"
"Behavior Rule","Правило на однесување"
"Transaction #%1 is expired","Трансакцијата #%1 е истечена"
"Update the Product","Ажурирајте го производот"
"Is Rewards Points used","Дали се користат поени за награди?"
"Coupon Used","Користен купон"
"Coupon Code","Код за купони"
No,Не
Yes,Да
"Conditions Combination","Комбинација на состојби"
"Product attribute combination","Комбинација на атрибути на производот"
"Products subselection","Избор на производи"
"Conditions combination","Комбинација на состојби"
"Cart Attribute","Атрибути на кошничката"
Customer,Клиент
"Last 7-days Clicks","Последни 7-дневни кликања"
"Last 7-days Orders","Последни 7-дневни нарачки"
"Last 7-days Revenue","Последните 7-дена приходи"
"Is Referee","Е судија"
"Is Referral","Дали упатување"
Email,Е-пошта
Group,Група
"Lifetime Sales","Доживотна продажба"
"Lifetime Spent Points","Доживотно потрошени поени"
"Number of Orders","Број на нарачки"
"Is subscriber of newsletter","Е претплатник на билтенот"
"Number of reviews","Број на прегледи"
"Number of referred friends signups","Број на запишани пријатели"
"Number of referred friends orders","Број на нарачани пријатели"
"Sum of referred friends orders","Сум на нарачки од наведени пријатели"
"Number of referrals who ordered at least once","Број реферали кои наредиле барем еднаш"
"Not registered","Не се регистрирани"
"Attribute Set","Поставен атрибут"
Quantity,Квантитет
"Product Type","Тип на производ"
"Base Image","Основна слика"
Thumbnail,Мини-слика
"Small Image","Мала слика"
"Base Image Size (bytes)","Базна големина на слика (бајти)"
"Thumbnail Size (bytes)","Големина на сликата (бајти)"
"Small Image Size (bytes)","Мала големина на слика (бајти)"
"PHP Condition","Состојба на PHP"
"Base Price","Базна цена"
"Final Price","Конечна цена"
"Special Price","Специјална цена"
"Open Chooser","Отвори избирач"
"Referred: Group","Наведено: Група"
"Referred: Lifetime Sales","Наведени: Доживотна продажба"
"Referred: Number of Orders","Наведено: Број на нарачки"
"Referred: Is subscriber of newsletter","Наведено: е претплатник на билтенот"
"Referred: Number of reviews","Наведени: Број на прегледи"
"Please specify a website.","Ве молиме наведете веб-страница."
"Please specify a customer email.","Ве молиме наведете е-пошта на клиентот."
"We found an invalid value in a website column.","Најдовме невалидна вредност во колона со веб-страници."
"Please enter a valid email.","Внесете валидна е-пошта."
"Please make sure attribute ""%1"" is not empty.","Ве молиме проверете дали атрибутот &quot;%1&quot; не е празен."
"We can't find a customer who matches this email and website code.","Не можеме да најдеме корисник кој ќе одговара на овој код за е-пошта и веб-страница."
"-- Please Select --","- Изберете -"
"Discount Used","Попуст користи"
"Custom Product Attributes","Прилагодени производни атрибути"
"- Disable these emails -","- Оневозможете ги овие пораки -"
"Give X points to customer","Испратете X поени до клиентот"
"Give X points for every spent Y","Дајте X поени за секој поминато Y"
"Give X points for every Z quantity","Дајте X поени за секоја Z-вредност"
"For every Y, give X points","За секој Y, дадете X поени"
Pending,"Во тек"
Approved,Одобрено
Discarded,Отфрлени
"You do not have permissions to create transactions. Please contact your site administrator.","Немате дозволи да создавате трансакции. Контактирајте со администраторот на вашиот сајт."
"%1 has been added.","%1 е додаден."
"%1 has been deducted.","%1 е одбиен."
"You earned %1 and spent %2 for this order.","Заработивте %1 и потроши %2 за оваа нарачка."
"You spent %1 for this order.","Поминавте %1 за оваа нарачка."
"You earned %1 for this order.","За оваа нарачка сте заработиле %1."
"Earned points will be enrolled to your account after we finish processing your order.","Заработени поени ќе бидат запишани на вашата сметка откако ќе завршиме со обработка на вашата нарачка."
"Rewards error occurred on the server. Please try to place the order again.","Настанот се појави на серверот. Ве молиме обидете се повторно да го поставите нарачката."
"Earn at least %1 %2","Заработи најмалку %1 %2"
"Reward Points","Поени за награда"
Edit,Уредување
Back,Назад
Delete,Избриши
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направите ова?"
Reset,Ресетирај
"Save and Continue Edit","Зачувај и продолжи Уреди"
Save,Зачувај
"Delete the record with ID ""${ $.$data.transaction_id }""","Избришете го записот со ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Дали сте сигурни дека нема да го избришете записот со идентификациски број &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Резиме на поени"
"To unsubscribe from points expiring notification click %1","За да се откажете од поени што истекуваат на известување кликнете %1"
"You have <b>%1</b> in your account.","Имате <b>%1</b> во вашата сметка."
"Transactions History","Историја на трансакции"
ID,ID
Comment,Коментар
Points,Поени
Created,Создаден
Expires,Истекува
"There are no Transactions.","Нема трансакции."
"Pending Transactions","Тековни трансакции"
Order,"Со цел"
Status,Статус
"Your points balance will expire in %1 days.","Балансот на бодови ќе истече за %1 дена."
"Visit My Reward Points Section","Посетете го делот Моја награда"
"Login to earn %1 for sharing!","Пријавете се за да заработите %1 за споделување!"
"Earn %1 for sharing!","Заработе %1 за споделување!"
"Like this page and earn %1","Како оваа страница и заработи %1"
Share,Сподели
"Share this page and earn %1","Сподели ја оваа страница и заработувај %1"
"Plus this page and earn %1","Плус оваа страница и заработи %1"
"Pin this page and earn %1","Приклучете ја оваа страница и заработувајте %1"
"Refer Friends","Побарајте Пријатели"
"Refer friend and earn %1. More friends more points!","Побарајте пријател и заработи %1. Повеќе пријатели повеќе поени!"
Tweet,Чуруликам
"Tweet this page and earn %1","Погледнете ја оваа страница и заработувајте %1"
"Check this out!","Види го ова!"
"You have <b>%1</b> available.","Имате <b>%1</b> достапни."
"Enter amount of points to spend:","Внесете износ на поени што треба да ги потрошите:"
"Use maximum %1","Користете максимум %1"
"Apply Points","Примени поени"
Apply,Примени
"Cancel Points","Откажи поени"
Cancel,Откажи
"Use %1","Користете %1"
"You Earn","Вие заработите"
"You Spend",Поминувате
"Discount amount","Износ на попуст"
"Use Reward Points","Користете награди за награди"
"This is a required field","Ова е задолжително поле"
"Subscription to Points Expiration Notification","Претплата на известување за истекување на бодови"
"Earning %1","Заработка %1"
"Buy to earn %1","Купи за да заработите %1"
"You'll earn %1 for this item","За оваа ставка ќе заработите %1"
"Share with Friends","Сподели со пријатели"
"Share the referral link in the social media and get points!","Споделете ја референтната врска во социјалните медиуми и добијте поени!"
"Tweet on Twitter","Tweet на Твитер"
"Your referral link:","Вашата референтна врска:"
"Send Invitations","Испрати покани"
"Enter contacts of your friends to invite them.","Внесете контакти на вашите пријатели за да ги поканите."
Name,Име
Message,Порака
Referrals,Препораки
"Referred by link","Наведен од линкот"
"There are no Referrals","Нема реферали"
"You have",Имаш
available.,достапни.
"Use maximum","Користете максимум"
"Enter amount of points to spend","Внесете количина на поени за да потрошите"
Use,Користете
"Notification Rules' messages","Правила за известување"
Template,Шаблон
"Notification Rule Template","Шаблон за правила за известување"
"My Referrals","Мои упатувања"
"Referrals List","Листа на референци"
today,денес
ago,пред
"Cannot delete transaction with id %1","Не може да се избрише трансакцијата со ID %1"
"Expires in","Истекува во"
"How to earn","Како да заработите"
"Spend points and receive discounts","Поминуваат поени и добиваат попусти"
"Total number of referred friends: %1","Вкупен број на споменати пријатели: %1"
"Or you may send this link in your messages to anyone","Или можете да ја испратите оваа врска во вашите пораки до сите"
"Your Transactions","Вашите трансакции"
"My Points","Мои поени"
"Share & Save","Сподели и зачувај"
History,Историја
"in %1 %2","во %1 %2"
"in %1 days","во %1 дена"
"in %1 day","во %1 ден"
"%1 %2 ago","%1 %2 пред"
"%1 days ago","%1 дена пред"
"%1 day ago","%1 ден пред"
"How to earn points","Како да заработите поени"
"You have invited %1 friends","Ги поканив %1 пријателите"
"Share the referral link in the social media","Споделете ја упатската врска во социјалните медиуми"
"You may send this link in your messages to anyone","Може да ја испратите оваа врска во вашите пораки до сите"
"Page not found.","Страната не е пронајдена."
"Customer tier up","Клиентско ниво"
"Customer tier down","Клиентско ниво надолу"
"sum of earned points","збир на заработени поени"
"sum of spent %1","збир на потрошени %1"
"Customer does not assign to website","Клиентот не му доделува на веб-страница"
"Payment Method","Метод за плаќање"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Ова ниво се доделува на %1 клиент (и). Ве молиме пренаменувате клиент (и) на друго ниво."
"You Spend Points","Вие трошите поени"
"Spend Amount","Потроши Износ"
"Spend Minimum Points","Поминете минимални поени"
"Spend Maximum Points","Поминат максимални поени"
"Cannot delete tier with id %1","Не може да се избрише ниво со ID %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Не може да се најде ниво за клиент &quot;%1&quot;. Проверете ја конфигурацијата на ниво."
"Customer Earning Style","Стил на заработка на клиентите"
"Number of Points (X)","Број на точки (X)"
"Step (Y)","Чекор (Y)"
"In base currency","Во основната валута"
"Quantity Step (Z)","Количен чекор (Z)"
"Maximum number of earned points for one customer per day","Максимален број на заработени поени за еден клиент дневно"
"Set 0 to disable limit","Поставете 0 за да го оневозможите ограничувањето"
"Do not change","Не менувај"
"Assign customer to Group","Доделете клиент на Група"
"Earn Maximum","Заработи Максимум"
"You can enter amount of points or percent. Leave empty to disable.","Можете да внесете износ на поени или проценти. Оставете празно да се оневозможи."
"Maximum Distributed Points","Максимални дистрибуирани поени"
Tiers,Трети
"%1 for each $%2","%1 за секој $ %2"
"All Groups","Сите групи"
Actions,Акции
"Points spending style","Поени трошење стил"
"For each spent X points","За секој потрошен X поени"
"Number of points.","Број на поени."
"Customer receive Y discount","Клиентот добива Y попуст"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Можете да внесете износ во основната валута или проценти. на пр. 100 или 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Можете да внесете износ на поени или проценти. на пр. 100 или 5%. Оставете празно да се оневозможи."
"Spend minimum","Потроши минимум"
"Spend maximum","Потроши максимално"
"Minimum sum of spent %1","Минимална сума на потрошени %1"
"Minimum points number to reach the tier","Минимален број поени за да стигнат до ниво"
"Delete the record with ID ""%1""","Избришете го записот со ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Дали сте сигурни дека нема да го избришете записот со лична карта &quot;%1&quot;?"
"Anonymous visitor","Анонимен посетител"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Вашата сегашна низа е <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Заработе <b>%1 за</b> да стигнете до <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Поминете <b>%1 за</b> да стигнете до <a class=""open-popup""><b>%2</b></a>"
"in 1 day","во 1 ден"
"1 day ago","Пред 1 ден"
