"My Reward Points","Моите наградни точки"
"Order from referred customer","Поръчка от посочения клиент"
"Points to Currency","Показва валута"
"Currency to Points","Валута към точки"
"Customer Account > My Reward Points","Клиентски профил&gt; Моите наградни точки"
"Customer Account > My Referrals","Клиентски профил&gt; Моите препратки"
"Cart Page",Кошница
"Message Sent","Съобщението е изпратено"
"Signed Up",Регистрирали
"Made Order","Направи поръчка"
"Visited by Referral Link","Посетено от препращащата връзка"
"Subtotal + Tax","Междинна сума + данък"
"Subtotal + Tax + Shipping","Междинна сума + Такса + Доставка"
"Product Rule","Правило на продукта"
"Cart Rule","Правило на кошницата"
"Behavior Rule","Правило за поведение"
"Transaction #%1 is expired","Транзакцията #%1 е изтекла"
"Update the Product","Актуализирайте продукта"
"Is Rewards Points used","Използват се Точки за награди"
"Coupon Used","Използвано купон"
"Coupon Code","Код на купона"
No,Не
Yes,Да
"Conditions Combination","Условия Комбинация"
"Product attribute combination","Комбинация атрибут на продукта"
"Products subselection","Подселекция на продуктите"
"Conditions combination","Съчетание на условия"
"Cart Attribute","Атрибут на количката"
Customer,Клиент
"Last 7-days Clicks","Последните 7-дневни кликвания"
"Last 7-days Orders","Последните 7-дневни поръчки"
"Last 7-days Revenue","Последните 7-дневни приходи"
"Is Referee","Реферът е"
"Is Referral","Препраща се"
Email,"Електронна поща"
Group,Група
"Lifetime Sales","Продажби през целия живот"
"Lifetime Spent Points","Загубени точки за цял живот"
"Number of Orders","Брой поръчки"
"Is subscriber of newsletter","Абонат на бюлетина"
"Number of reviews","Брой мнения"
"Number of referred friends signups","Брой регистрирани приятели"
"Number of referred friends orders","Брой заявени поръчки на приятели"
"Sum of referred friends orders","Сума от заявените от приятелите поръчки"
"Number of referrals who ordered at least once","Брой реферали, които са поръчали поне веднъж"
"Not registered","Не е регистриран"
"Attribute Set","Набор от атрибути"
Quantity,Количество
"Product Type","Вид на продукта"
"Base Image","Базово изображение"
Thumbnail,Thumbnail
"Small Image","Малко изображение"
"Base Image Size (bytes)","Базов размер на изображението (байтове)"
"Thumbnail Size (bytes)","Размер на миниатюри (байтове)"
"Small Image Size (bytes)","Малък размер на изображението (байтове)"
"PHP Condition","PHP условие"
"Base Price","Основна цена"
"Final Price","Крайна цена"
"Special Price","Специална цена"
"Open Chooser","Отваряне на избора"
"Referred: Group","Препратен: Група"
"Referred: Lifetime Sales","Наречен: продажби през целия живот"
"Referred: Number of Orders","Препратен: Брой поръчки"
"Referred: Is subscriber of newsletter","Препратен: Абонат на бюлетина"
"Referred: Number of reviews","Препоръчани: Брой мнения"
"Please specify a website.","Моля, посочете уебсайт."
"Please specify a customer email.","Моля, посочете клиентски имейл."
"We found an invalid value in a website column.","Намерехме невалидна стойност в графата на уебсайт."
"Please enter a valid email.","Моля, въведете валиден имейл адрес."
"Please make sure attribute ""%1"" is not empty.","Моля, уверете се, че атрибутът &quot;%1&quot; не е празен."
"We can't find a customer who matches this email and website code.","Не можем да намерим клиент, който съответства на този имейл и кода на уебсайта."
"-- Please Select --","-- Моля изберете --"
"Discount Used","Отстъпка, използвана"
"Custom Product Attributes","Атрибути на потребителски продукти"
"- Disable these emails -","- Деактивиране на тези имейли -"
"Give X points to customer","Дайте X точки на клиента"
"Give X points for every spent Y","Дайте X точки за всяко прекарано Y"
"Give X points for every Z quantity","Дайте X точки за всяко количество Z"
"For every Y, give X points","За всеки Y дават X точки"
Pending,"В очакване на"
Approved,Одобрен
Discarded,"Излязло от употреба"
"You do not have permissions to create transactions. Please contact your site administrator.","Нямате разрешения за създаване на транзакции. Моля, свържете се с администратора на сайта си."
"%1 has been added.","Добавен е %1."
"%1 has been deducted.","%1 е приспадната."
"You earned %1 and spent %2 for this order.","Спечелихте %1 и прекарахте %2 за тази поръчка."
"You spent %1 for this order.","Прекарахте %1 за тази поръчка."
"You earned %1 for this order.","Спечелихте %1 за тази поръчка."
"Earned points will be enrolled to your account after we finish processing your order.","Получените точки ще бъдат записани в профила Ви, след като завършим обработката на поръчката ви."
"Rewards error occurred on the server. Please try to place the order again.","Възникна грешка на сървъра. Моля, опитайте отново да поставите поръчката."
"Earn at least %1 %2","Спечелете поне %1 %2"
"Reward Points","Наградни точки"
Edit,Редактиране
Back,Обратно
Delete,Изтрий
"Are you sure you want to do this?","Наистина ли искате да направите това?"
Reset,Нулиране
"Save and Continue Edit","Запазване и продължаване на редактирането"
Save,Запази
"Delete the record with ID ""${ $.$data.transaction_id }""","Изтриване на записа с идентификатор ""${ $.$data.transaction_id }"""
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Наистина ли искате да изтриете записа с идентификационен номер ""${ $.$data.transaction_id }""?"
"Points Summary","Обобщение на точките"
"To unsubscribe from points expiring notification click %1","За да прекратите абонамента си от точките, които изтичат от известието, кликнете върху %1"
"You have <b>%1</b> in your account.","Имате <b>%1</b> в профила си."
"Transactions History","История на транзакциите"
ID,"Документ за самоличност"
Comment,Коментар
Points,Точки
Created,Създаден
Expires,Изтича
"There are no Transactions.","Няма транзакции."
"Pending Transactions","Предстоящи транзакции"
Order,Поръчка
Status,Статус
"Your points balance will expire in %1 days.","Балансът на точките ви ще изтече след %1 дни."
"Visit My Reward Points Section","Посетете раздела Моите наградни точки"
"Login to earn %1 for sharing!","Влезте, за да спечелите %1 за споделяне!"
"Earn %1 for sharing!","Спечелете %1 за споделяне!"
"Like this page and earn %1","Подобно на тази страница и печелите %1"
Share,Дял
"Share this page and earn %1","Споделете тази страница и спечелете %1"
"Plus this page and earn %1","Плюс тази страница и печелите %1"
"Pin this page and earn %1","Маркирайте тази страница и спечелете %1"
"Refer Friends","Потърсете приятели"
"Refer friend and earn %1. More friends more points!","Посочете приятел и спечелете %1. Още приятели повече точки!"
Tweet,Чуруликане
"Tweet this page and earn %1","Публикувайте тази страница и спечелете %1"
"Check this out!","Виж това!"
"You have <b>%1</b> available.","Имате налични <b>%1</b> ."
"Enter amount of points to spend:","Въведете размера на точките, които трябва да изразходвате:"
"Use maximum %1","Използвайте максимум %1"
"Apply Points","Прилагане на точки"
Apply,Приложи
"Cancel Points","Отмяна на точки"
Cancel,Отказ
"Use %1","Използвайте %1"
"You Earn","Вие печелите"
"You Spend","Вие прекарвате"
"Discount amount","Стойност на намалението"
"Use Reward Points","Използвайте точки за награда"
"This is a required field","Това е задължително поле"
"Subscription to Points Expiration Notification","Абониране за известието за изтичане на точки"
"Earning %1","Приходи %1"
"Buy to earn %1","Купете, за да печелите %1"
"You'll earn %1 for this item","Ще спечелите %1 за този елемент"
"Share with Friends","Сподели с приятели"
"Share the referral link in the social media and get points!","Споделете връзката за препращане в социалните медии и получавайте точки!"
"Tweet on Twitter","Tweet в Twitter"
"Your referral link:","Вашият линк за препращане:"
"Send Invitations","Изпращане на покани"
"Enter contacts of your friends to invite them.","Въведете контакти на приятелите си, за да ги поканите."
Name,Име
Message,Съобщение
Referrals,Препратките
"Referred by link","Препратен от връзка"
"There are no Referrals","Няма препратки"
"You have","Ти имаш"
available.,"на разположение."
"Use maximum","Използвайте максимално"
"Enter amount of points to spend","Въведете размера на точките, които да похарчите"
Use,Употреба
"Notification Rules' messages","Съобщения за правила за известия"
Template,Шаблон
"Notification Rule Template","Шаблон за правила за уведомяване"
"My Referrals","Моите препратки"
"Referrals List","Списък на препратките"
today,днес
ago,преди
"Cannot delete transaction with id %1","Не може да се изтрие транзакцията с id %1"
"Expires in","Изтича на"
"How to earn","Как да спечелите"
"Spend points and receive discounts","Изразходвайте точки и получавайте отстъпки"
"Total number of referred friends: %1","Общ брой на препратените приятели: %1"
"Or you may send this link in your messages to anyone","Или можете да изпратите тази връзка в съобщенията си на никого"
"Your Transactions","Вашите транзакции"
"My Points","Моите точки"
"Share & Save","Споделяне и запазване"
History,История
"in %1 %2","в %1 %2"
"in %1 days","за %1 дни"
"in %1 day","в %1 ден"
"%1 %2 ago","Преди %1 %2"
"%1 days ago","Преди %1 дни"
"%1 day ago","Преди 1 ден"
"How to earn points","Как да печелите точки"
"You have invited %1 friends","Поканили сте %1 приятели"
"Share the referral link in the social media","Споделете връзката за препращане в социалните медии"
"You may send this link in your messages to anyone","Можете да изпратите тази връзка в съобщенията си на никого"
"Page not found.","Страницата не е намерена."
"Customer tier up","Клиентът се подрежда"
"Customer tier down","Клиентът се свива"
"sum of earned points","сумата от спечелените точки"
"sum of spent %1","сума от изразходвани %1"
"Customer does not assign to website","Клиентът не възлага на уебсайта"
"Payment Method","Начин на плащане"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Това ниво е присвоено на %1 клиент (и). Моля, превъзлагайте клиента (ите) на друго ниво."
"You Spend Points","Вие изразходвате точки"
"Spend Amount","Прекарайте сума"
"Spend Minimum Points","Минимални точки"
"Spend Maximum Points","Прекарайте максималните точки"
"Cannot delete tier with id %1","Не може да бъде изтрито ниво с id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Не може да се намери подреждане за клиент &quot;%1&quot;. Моля, проверете конфигурацията на подреждането."
"Customer Earning Style","Щатски долар стил"
"Number of Points (X)","Брой точки (X)"
"Step (Y)","Стъпка (Y)"
"In base currency","В базова валута"
"Quantity Step (Z)","Количество Стъпка (Z)"
"Maximum number of earned points for one customer per day","Максимален брой точки за един клиент на ден"
"Set 0 to disable limit","Задайте 0, за да деактивирате лимита"
"Do not change","Не се променят"
"Assign customer to Group","Задайте клиент на Group"
"Earn Maximum","Спечелете максимум"
"You can enter amount of points or percent. Leave empty to disable.","Можете да въведете сумата от точките или процента. Оставете празно, за да деактивирате."
"Maximum Distributed Points","Максимални разпределени точки"
Tiers,Трета
"%1 for each $%2","%1 за всеки $ %2"
"All Groups","Всички групи"
Actions,Мерки
"Points spending style","Указва стила на разходите"
"For each spent X points","За всеки изразходван X точки"
"Number of points.","Брой точки."
"Customer receive Y discount","Клиентът получава Y отстъпка"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Можете да въведете сума в основна валута или в проценти. напр. 100 или 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Можете да въведете сумата от точките или процента. напр. 100 или 5%. Оставете празно, за да деактивирате."
"Spend minimum","Прекарайте минимум"
"Spend maximum","Прекарайте максимално"
"Minimum sum of spent %1","Минимална сума от изразходвани %1"
"Minimum points number to reach the tier","Минимален брой точки, за да достигнете до подреждането"
"Delete the record with ID ""%1""","Изтрийте записа с идентификатор &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Наистина ли искате да изтриете записа с идентификатор &quot;%1&quot;?"
"Anonymous visitor","Анонимен посетител"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Текущото ви ниво е <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Спечелете <b>%1, за</b> да стигнете до <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Прекарайте <b>%1, за</b> да стигнете до <a class=""open-popup""><b>%2</b></a>"
"in 1 day","в 1 ден"
"1 day ago","Преди 1 ден"
