"My Reward Points","Πόντους ανταμοιβής μου"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
Reset,Επαναφορά
"Save and Continue Edit","Αποθηκεύστε και συνεχίστε την επεξεργασία"
Save,Αποθηκεύσετε
"Delete the record with ID ""${ $.$data.transaction_id }""","Διαγράψτε την εγγραφή με αναγνωριστικό &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Είστε βέβαιοι ότι θέλετε να διαγράψετε την εγγραφή με αναγνωριστικό &quot;$ {$. $ Data.transaction_id}&quot;;"
"Points Summary","Σύνοψη σημείων"
"To unsubscribe from points expiring notification click %1","Για να καταργήσετε την εγγραφή σας από τα σημεία που λήγουν την ειδοποίηση, κάντε κλικ στο %1"
"You have <b>%1</b> in your account.","Έχετε <b>%1</b> στο λογαριασμό σας."
"Transactions History","Ιστορικό συναλλαγών"
ID,Ταυτότητα
Comment,Σχόλιο
Points,Σημεία
Created,Δημιουργήθηκε
Expires,Λήγει
"There are no Transactions.","Δεν υπάρχουν συναλλαγές."
"Pending Transactions","Εκκρεμείς Συναλλαγές"
Order,Σειρά
Status,Κατάσταση
"Your points balance will expire in %1 days.","Το υπόλοιπό σας θα λήξει σε %1 ημέρες."
"Visit My Reward Points Section","Επισκεφθείτε την ενότητα &quot;Πόντοι επιβράβευσης&quot;"
"Login to earn %1 for sharing!","Συνδεθείτε για να κερδίσετε %1 για κοινή χρήση!"
"Earn %1 for sharing!","Κερδίστε %1 για κοινή χρήση!"
"Like this page and earn %1","Όπως αυτή η σελίδα και να κερδίσετε %1"
Share,Μερίδιο
"Share this page and earn %1","Μοιραστείτε αυτήν τη σελίδα και κερδίστε %1"
"Plus this page and earn %1","Πλέον αυτή τη σελίδα και κερδίστε %1"
"Pin this page and earn %1","Κολλήστε αυτή τη σελίδα και κερδίστε %1"
"Refer Friends","Ανατρέξτε στους φίλους"
"Refer friend and earn %1. More friends more points!","Αναφερθείτε σε φίλο και κερδίστε %1. Περισσότεροι φίλοι περισσότερα σημεία!"
Tweet,Τιτίβισμα
"Tweet this page and earn %1","Tweet αυτή τη σελίδα και κερδίστε %1"
"Check this out!","Ελεγξε αυτό!"
"You have <b>%1</b> available.","Έχετε <b>%1</b> διαθέσιμο."
"Enter amount of points to spend:","Καταχωρίστε το ποσό των πόντων που πρέπει να δαπανήσετε:"
"Use maximum %1","Χρησιμοποιήστε το μέγιστο %1"
"Apply Points","Εφαρμογή σημείων"
Apply,Ισχύουν
"Cancel Points","Ακύρωση σημείων"
Cancel,Ματαίωση
"Use %1","Χρησιμοποίησε 1__"
"You Earn","Κερδίζεις, κερδίζετε"
"You Spend",Ξοδεύετε
"Discount amount","Έκπτωση ποσό"
"Use Reward Points","Χρήση πόντων ανταμοιβής"
"This is a required field","Αυτό είναι υποχρεωτικό πεδίο"
"Subscription to Points Expiration Notification","Εγγραφή στην ειδοποίηση λήξης σημείων"
"Earning %1","Κερδίζοντας %1"
"Buy to earn %1","Αγοράστε για να κερδίσετε %1"
"You'll earn %1 for this item","Θα κερδίσετε %1 για αυτό το αντικείμενο"
"Share with Friends","Μοιράσου με φίλους"
"Share the referral link in the social media and get points!","Μοιραστείτε το σύνδεσμο παραπομπής στα κοινωνικά μέσα ενημέρωσης και κερδίστε πόντους!"
"Tweet on Twitter","Tweet στο Twitter"
"Your referral link:","Ο σύνδεσμος παραπομπής σας:"
"Send Invitations","Στείλε προσκλήσεις"
"Enter contacts of your friends to invite them.","Εισαγάγετε επαφές των φίλων σας για να τους προσκαλέσετε."
Name,Ονομα
Message,Μήνυμα
Referrals,Παραπομπές
"Referred by link","Αναφέρεται από το σύνδεσμο"
"There are no Referrals","Δεν υπάρχουν παραπομπές"
"You have",Εχεις
available.,διαθέσιμος.
"Use maximum","Χρησιμοποιήστε το μέγιστο"
"Enter amount of points to spend","Καταχωρίστε το ποσό των πόντων που θα δαπανήσετε"
Use,Χρήση
"Notification Rules' messages","Τα μηνύματα των Κανόνων Ειδοποίησης"
Template,Πρότυπο
"Notification Rule Template","Πρότυπο κανόνα ειδοποίησης"
"My Referrals","Οι παραπομπές μου"
"Referrals List","Λίστα παραπομπών"
today,σήμερα
ago,πριν
"Cannot delete transaction with id %1","Δεν είναι δυνατή η διαγραφή συναλλαγής με id %1"
"Expires in","Λήγει σε"
"How to earn","Πώς να κερδίσετε"
"Spend points and receive discounts","Πληρώστε πόντους και λάβετε εκπτώσεις"
"Total number of referred friends: %1","Συνολικός αριθμός παρατιθέμενων φίλων: %1"
"Or you may send this link in your messages to anyone","Ή μπορείτε να στείλετε αυτόν τον σύνδεσμο στα μηνύματά σας σε οποιονδήποτε"
"Your Transactions","Οι συναλλαγές σας"
"My Points","Τα σημεία μου"
"Share & Save","Κοινή χρήση και αποθήκευση"
History,Ιστορία
"in %1 %2","σε %1 %2"
"in %1 days","σε %1 ημέρες"
"in %1 day","σε %1 ημέρα"
"%1 %2 ago","%1 %2 πριν"
"%1 days ago","%1 ημέρες πριν"
"%1 day ago","%1 ημέρα πριν"
"How to earn points","Πώς να κερδίσετε πόντους"
"You have invited %1 friends","Έχετε καλέσει %1 φίλους"
"Share the referral link in the social media","Μοιραστείτε τη σύνδεση παραπομπής στα κοινωνικά μέσα ενημέρωσης"
"You may send this link in your messages to anyone","Μπορείτε να στείλετε αυτόν τον σύνδεσμο στα μηνύματά σας σε οποιονδήποτε"
"Page not found.","Η σελίδα δεν βρέθηκε."
"Customer tier up",Πελατολόγιο
"Customer tier down","Περιθώριο πελάτη"
"sum of earned points","άθροισμα κερδισμένων πόντων"
"sum of spent %1","άθροισμα δαπανών %1"
"Customer does not assign to website","Ο πελάτης δεν αναθέτει στον ιστότοπο"
"Payment Method","Μέθοδος πληρωμής"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Αυτή η βαθμίδα είναι εκχωρημένη στους πελάτες %1. Επανατοποθετήστε τον πελάτη (πελάτες) σε άλλη βαθμίδα."
"You Spend Points","Πάσχετε Πόντους"
"Spend Amount","Περάστε το ποσό"
"Spend Minimum Points","Ξοδέψτε τα ελάχιστα σημεία"
"Spend Maximum Points","Εξοικονόμηση μέγιστων πόντων"
"Cannot delete tier with id %1","Δεν είναι δυνατή η διαγραφή της κατηγορίας με id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Δεν είναι δυνατή η εύρεση κατηγορίας για τον πελάτη &quot;%1&quot;. Ελέγξτε τη διαμόρφωση της κατηγορίας."
"Customer Earning Style","Κερδίζοντας στιλ πελατείας"
"Number of Points (X)","Αριθμός πόντων (X)"
"Step (Y)","Βήμα (Υ)"
"In base currency","Σε βασικό νόμισμα"
"Quantity Step (Z)","Ποσότητα Βήμα (Ζ)"
"Maximum number of earned points for one customer per day","Μέγιστος αριθμός κερδισμένων πόντων για έναν πελάτη την ημέρα"
"Set 0 to disable limit","Ορίστε το 0 για να απενεργοποιήσετε το όριο"
"Do not change","Μην αλλάξεις"
"Assign customer to Group","Αναθέστε τον πελάτη στην ομάδα"
"Earn Maximum","Κερδίστε το Μέγιστο"
"You can enter amount of points or percent. Leave empty to disable.","Μπορείτε να εισαγάγετε το ποσό των πόντων ή το ποσοστό. Αφήστε κενό για απενεργοποίηση."
"Maximum Distributed Points","Μέγιστα κατανεμημένα σημεία"
Tiers,Τρίτος
"%1 for each $%2","%1 για κάθε $ %2"
"All Groups","Όλες οι ομάδες"
Actions,Ενέργειες
"Points spending style","Σημειώνει το ύφος των δαπανών"
"For each spent X points","Για κάθε δαπανημένο X πόντους"
"Number of points.","Αριθμός σημείων."
"Customer receive Y discount","Ο πελάτης λαμβάνει έκπτωση Y"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Μπορείτε να εισάγετε το ποσό σε βασικό νόμισμα ή σε ποσοστό. π.χ. 100 ή 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Μπορείτε να εισαγάγετε το ποσό των πόντων ή το ποσοστό. π.χ. 100 ή 5%. Αφήστε κενό για απενεργοποίηση."
"Spend minimum","Περάστε ελάχιστο"
"Spend maximum","Περάστε το μέγιστο"
"Minimum sum of spent %1","Ελάχιστο άθροισμα δαπανών %1"
"Minimum points number to reach the tier","Ελάχιστος αριθμός σημείων για να φτάσετε στη βαθμίδα"
"Delete the record with ID ""%1""","Διαγράψτε την εγγραφή με αναγνωριστικό &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Είστε βέβαιοι ότι θέλετε να διαγράψετε την εγγραφή με αναγνωριστικό &quot;%1&quot;;"
"Anonymous visitor","Ανώνυμος επισκέπτης"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Η τρέχουσα βαθμίδα είναι <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Κερδίστε <b>%1</b> για να φτάσετε στο <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Περάστε <b>%1</b> για να φτάσετε στο <a class=""open-popup""><b>%2</b></a>"
"in 1 day","σε 1 ημέρα"
"1 day ago","1 ημέρα πριν"
