"My Reward Points","Meine Prämienpunkte"
"Base Price",Grundpreis
"Final Price","Endgültiger Preis"
"Special Price",Sonderangebot
"Open Chooser","Öffnen Sie die Auswahl"
"Referred: Group","Geworben: Gruppe"
"Referred: Lifetime Sales","Geworben: Lebenslange Verkäufe"
"Referred: Number of Orders","Geworben: Anzahl der Bestellungen"
"Referred: Is subscriber of newsletter","Geworben: Abonnent des Newsletters"
"Referred: Number of reviews","Geworben: Anzahl der Bewertungen"
"Please specify a website.","Bitte geben Sie eine Website an."
"Please specify a customer email.","Bitte geben Sie eine Kunden-E-Mail an."
"We found an invalid value in a website column.","Wir haben einen ungültigen Wert in einer Website-Spalte gefunden."
"Please enter a valid email.","Bitte geben Sie eine gültige Email-Adresse ein."
"Please make sure attribute ""%1"" is not empty.","Bitte stellen Sie sicher, dass das Attribut &quot;%1&quot; nicht leer ist."
"We can't find a customer who matches this email and website code.","Wir können keinen Kunden finden, der diesem E-Mail- und Website-Code entspricht."
"-- Please Select --","-- Bitte auswählen --"
"Discount Used","Rabatt verwendet"
"Custom Product Attributes","Benutzerdefinierte Produktattribute"
"- Disable these emails -","- Deaktivieren Sie diese E-Mails -"
"Give X points to customer","Gib dem Kunden X Punkte"
"Give X points for every spent Y","Geben Sie X Punkte für jedes ausgegebene Y"
"Give X points for every Z quantity","Gib für jede Z-Menge X Punkte"
"For every Y, give X points","Gib für jedes Y X Punkte"
Pending,"Steht aus"
Approved,Genehmigt
Discarded,Verworfen
"You do not have permissions to create transactions. Please contact your site administrator.","Sie sind nicht berechtigt, Transaktionen zu erstellen. Bitte kontaktieren Sie Ihren Site-Administrator."
"%1 has been added.","%1 wurde hinzugefügt."
"%1 has been deducted.","%1 wurde abgezogen."
"You earned %1 and spent %2 for this order.","Du hast %1 verdient und %2 für diese Bestellung ausgegeben."
"You spent %1 for this order.","Sie haben %1 für diese Bestellung ausgegeben."
"You earned %1 for this order.","Du hast %1 für diesen Auftrag verdient."
"Earned points will be enrolled to your account after we finish processing your order.","Die verdienten Punkte werden nach Abschluss Ihrer Bestellung auf Ihrem Konto registriert."
"Rewards error occurred on the server. Please try to place the order again.","Der Rewards-Fehler ist auf dem Server aufgetreten. Bitte versuchen Sie die Bestellung erneut zu tätigen."
"Earn at least %1 %2","Verdiene mindestens %1 %2"
"Reward Points",Belohnungspunkte
Edit,Bearbeiten
Back,Zurück
Delete,Löschen
"Are you sure you want to do this?","Bist du sicher, dass du das machen willst?"
Reset,Zurücksetzen
"Save and Continue Edit","Speichern und Weiter Bearbeiten"
Save,Sparen
"Delete the record with ID ""${ $.$data.transaction_id }""","Löschen Sie den Datensatz mit der ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Möchten Sie den Datensatz mit der ID &quot;$ {$. $ Data.transaction_id}&quot; wirklich löschen?"
"Points Summary","Zusammenfassung der Punkte"
"To unsubscribe from points expiring notification click %1","Um sich von ablaufenden Benachrichtigungen abzumelden, klicken Sie auf %1"
"You have <b>%1</b> in your account.","Sie haben <b>%1</b> in Ihrem Konto."
"Transactions History",Transaktionsverlauf
ID,"ICH WÜRDE"
Comment,Kommentar
Points,Punkte
Created,Erstellt
Expires,"Läuft ab"
"There are no Transactions.","Es gibt keine Transaktionen."
"Pending Transactions","Ausstehende Transaktionen"
Order,Auftrag
Status,Status
"Your points balance will expire in %1 days.","Ihr Punkteguthaben läuft in %1 Tagen ab."
"Visit My Reward Points Section","Besuchen Sie meine Prämienpunkte"
"Login to earn %1 for sharing!","Melden Sie sich an, um %1 zum Teilen zu verdienen!"
"Earn %1 for sharing!","Verdiene %1 zum teilen!"
"Like this page and earn %1","Wie diese Seite und verdiene %1"
Share,Aktie
"Share this page and earn %1","Teile diese Seite und verdiene %1"
"Plus this page and earn %1","Plus diese Seite und verdiene %1"
"Pin this page and earn %1","Pin diese Seite und verdienen %1"
"Refer Friends","Verweise Freunde"
"Refer friend and earn %1. More friends more points!","Überweisen Sie einen Freund und verdienen Sie %1. Mehr Freunde mehr Punkte!"
Tweet,Tweet
"Tweet this page and earn %1","Tweet diese Seite und verdiene %1"
"Check this out!","Sieh dir das an!"
"You have <b>%1</b> available.","Sie haben <b>%1</b> verfügbar."
"Enter amount of points to spend:","Geben Sie die Anzahl der Punkte ein, die ausgegeben werden sollen:"
"Use maximum %1","Verwenden Sie maximal %1"
"Apply Points","Punkte anwenden"
Apply,"Sich bewerben"
"Cancel Points","Punkte stornieren"
Cancel,Stornieren
"Use %1","Verwende 1__"
"You Earn","Du verdienst"
"You Spend","Sie verbringen"
"Discount amount",Rabattbetrag
"Use Reward Points","Verwenden Sie Prämienpunkte"
"This is a required field","Das ist ein Pflichtfeld"
"Subscription to Points Expiration Notification","Abonnement für die Benachrichtigung über das Verfallsdatum von Punkten"
"Earning %1","Verdienst %1"
"Buy to earn %1","Kaufen, um %1 zu verdienen"
"You'll earn %1 for this item","Sie erhalten %1 für diesen Artikel"
"Share with Friends","Mit Freunden teilen"
"Share the referral link in the social media and get points!","Teilen Sie den Verweislink in den sozialen Medien und erhalten Sie Punkte!"
"Tweet on Twitter","Tweet auf Twitter"
"Your referral link:","Ihr Empfehlungslink:"
"Send Invitations","Einladungen verschicken"
"Enter contacts of your friends to invite them.","Geben Sie Kontakte Ihrer Freunde ein, um sie einzuladen."
Name,Name
Message,Botschaft
Referrals,Empfehlungen
"Referred by link","Geworben durch Verbindung"
"There are no Referrals","Es gibt keine Empfehlungen"
"You have","Du hast"
available.,verfügbar.
"Use maximum","Verwenden Sie maximal"
"Enter amount of points to spend","Geben Sie die Anzahl der Punkte ein, die ausgegeben werden sollen"
Use,Benutzen
"Notification Rules' messages","Benachrichtigungsregeln Nachrichten"
Template,Vorlage
"Notification Rule Template",Benachrichtigungsregelvorlage
"My Referrals","Meine Empfehlungen"
"Referrals List",Verweisliste
today,heute
ago,vor
"Cannot delete transaction with id %1","Transaktion mit ID %1 kann nicht gelöscht werden"
"Expires in","Läuft ab in"
"How to earn","Wie verdient man"
"Spend points and receive discounts","Punkte einlösen und Rabatte erhalten"
"Total number of referred friends: %1","Gesamtzahl der überwiesenen Freunde: %1"
"Or you may send this link in your messages to anyone","Oder Sie können diesen Link in Ihren Nachrichten an jeden senden"
"Your Transactions","Ihre Transaktionen"
"My Points","Meine Punkte"
"Share & Save","Teilen und speichern"
History,Geschichte
"in %1 %2","in %1 %2"
"in %1 days","in %1 Tagen"
"in %1 day","in %1 Tag"
"%1 %2 ago","%1 %2 vor"
"%1 days ago","Vor __1 Tagen"
"%1 day ago","Vor 1 Tag"
"How to earn points","Wie bekomme ich Punkte?"
"You have invited %1 friends","Du hast %1 Freunde eingeladen"
"Share the referral link in the social media","Teilen Sie den Empfehlungslink in den sozialen Medien"
"You may send this link in your messages to anyone","Sie können diesen Link in Ihren Nachrichten an jeden senden"
"Page not found.","Seite nicht gefunden."
"Customer tier up","Kundenebene nach oben"
"Customer tier down","Kundenebene runter"
"sum of earned points","Summe der verdienten Punkte"
"sum of spent %1","Summe der Ausgaben %1"
"Customer does not assign to website","Der Kunde ordnet die Website nicht zu"
"Payment Method",Zahlungsmethode
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Diese Schicht wird %1 Kunden zugewiesen. Bitte weisen Sie den / die Kunden erneut einer anderen Stufe zu."
"You Spend Points","Sie geben Punkte aus"
"Spend Amount","Betrag ausgeben"
"Spend Minimum Points","Minimale Punkte ausgeben"
"Spend Maximum Points","Maximale Punkte ausgeben"
"Cannot delete tier with id %1","Tier mit der ID %1 kann nicht gelöscht werden"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Stufe für Kunden &quot;%1&quot; kann nicht gefunden werden. Bitte überprüfen Sie die Tierkonfiguration."
"Customer Earning Style",Kundengewinnungsstil
"Number of Points (X)","Anzahl der Punkte (X)"
"Step (Y)","Schritt (Y)"
"In base currency","In Basiswährung"
"Quantity Step (Z)","Mengenschritt (Z)"
"Maximum number of earned points for one customer per day","Maximale Anzahl an verdienten Punkten für einen Kunden pro Tag"
"Set 0 to disable limit","Stellen Sie 0 ein, um das Limit zu deaktivieren"
"Do not change","Ändere dich nicht"
"Assign customer to Group","Weisen Sie den Kunden der Gruppe zu"
"Earn Maximum","Maximal verdienen"
"You can enter amount of points or percent. Leave empty to disable.","Sie können die Anzahl der Punkte oder Prozent eingeben. Leer lassen, um es zu deaktivieren."
"Maximum Distributed Points","Maximal verteilte Punkte"
Tiers,Dritte
"%1 for each $%2","%1 für jeden $ %2"
"All Groups","Alle Gruppen"
Actions,Aktionen
"Points spending style","Punkte Ausgabestil"
"For each spent X points","Für jeden ausgegebenen X-Punkt"
"Number of points.","Anzahl der Punkte."
"Customer receive Y discount","Kunden erhalten einen Rabatt"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Sie können den Betrag in der Basiswährung oder in Prozent eingeben. zB 100 oder 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Sie können die Anzahl der Punkte oder Prozent eingeben. zB 100 oder 5%. Leer lassen, um es zu deaktivieren."
"Spend minimum","Mindestens ausgeben"
"Spend maximum","Maximal ausgeben"
"Minimum sum of spent %1","Mindestbetrag der Ausgaben %1"
"Minimum points number to reach the tier","Mindestpunktzahl, um die Stufe zu erreichen"
"Delete the record with ID ""%1""","Löschen Sie den Datensatz mit der ID &quot;%1&quot;."
"Are you sure you wan't to delete the record with ID ""%1""?","Möchten Sie den Datensatz mit der ID &quot;%1&quot; wirklich löschen?"
"Anonymous visitor","Anonymer Besucher"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Ihre aktuelle Stufe ist <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Verdiene <b>%1</b> , um zu <a class=""open-popup""><b>%2</b></a> zu <a class=""open-popup""><b>gelangen</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>Geben</b> Sie <b>%1 aus</b> , um zu <a class=""open-popup""><b>%2</b></a> zu <a class=""open-popup""><b>gelangen.</b></a>"
"in 1 day","an einem Tag"
"1 day ago","Vor 1 Tag"
