"My Reward Points","ჩემი საჩუქრების ქულები"
"Customer joins the affiliate program","კლიენტი უერთდება შვილობილი პროგრამას"
"Push Notifications sign up","Push შეტყობინებები დარეგისტრირდით"
"Referred customer signs up in store","მაღაზიაში მოხსენიებული კლიენტების ხელმოწერა"
"Order from referred customer","ბრძანება დამკვეთისგან"
"Points to Currency","ქულები ვალუტაში"
"Currency to Points","ვალუტა ქულაზე"
"Customer Account > My Reward Points","სამომხმარებლო ანგარიში&gt; ჩემი საჩუქრების ქულები"
"Customer Account > My Referrals","სამომხმარებლო ანგარიში&gt; ჩემი რეფერალები"
"Cart Page","კალათა გვერდი"
"Message Sent","შეტყობინება გაგზავნილია"
"Signed Up","ხელი მოეწერა"
"Made Order","დამზადებულია შეკვეთა"
"Visited by Referral Link","მონახულებული რეფერალური ბმული"
"Subtotal + Tax","საგადასახადო + საგადასახადო"
"Subtotal + Tax + Shipping","საგადასახადო + საგადასახადო გადაზიდვა"
"Product Rule","პროდუქტის წესი"
"Cart Rule","კალათა წესი"
"Behavior Rule","ქცევა წესი"
"Transaction #%1 is expired","გარიგება #%1 ამოიწურა"
"Update the Product","პროდუქტის განახლება"
"Is Rewards Points used","გამოიყენება საჩუქრების რაოდენობა"
"Coupon Used","კუპონის გამოყენება"
"Coupon Code","კუპონის კოდი"
No,არა
Yes,დიახ
"Conditions Combination","პირობები კომბინაცია"
"Product attribute combination","პროდუქტის ატრიბუტის კომბინაცია"
"Products subselection","პროდუქტები სუბების შერჩევა"
"Conditions combination","პირობები კომბინაცია"
"Cart Attribute","კალათა ატრიბუტი"
Customer,დამკვეთი
"Last 7-days Clicks","ბოლო 7 დღის დაწკაპუნებები"
"Last 7-days Orders","ბოლო 7 დღიანი ბრძანებები"
"Last 7-days Revenue","ბოლო 7 დღიანი შემოსავალი"
"Is Referee","არის მსაჯი"
"Is Referral","არის რეფერალური"
Email,ელ.ფოსტა
Group,ჯგუფი
"Lifetime Sales","სიცოცხლის გაყიდვები"
"Lifetime Spent Points","ცხოვრების ხარჯები"
"Number of Orders","ბრძანებების რაოდენობა"
"Is subscriber of newsletter","არის საინფორმაციო ბიულეტენის აბონენტი"
"Number of reviews","მიმოხილვების რაოდენობა"
"Number of referred friends signups","მოხსენიებული მეგობრების ხელმოწერების რაოდენობა"
"Number of referred friends orders","მოხსენიებული მეგობრების რაოდენობა"
"Sum of referred friends orders","მოხსენიებული მეგობრების თანხა"
"Number of referrals who ordered at least once","რეფერალების რაოდენობა, რომელიც სულ ცოტა ხნის წინ უბრძანა"
"Not registered","არ არის რეგისტრირებული"
"Attribute Set","ატრიბუტის კომპლექტი"
Quantity,რაოდენობა
"Product Type","პროდუქტის ტიპი"
"Base Image","ბაზა Image"
Thumbnail,მინიატურა
"Small Image","მცირე სურათი"
"Base Image Size (bytes)","ბაზის გამოსახულების ზომა (ბაიტი)"
"Thumbnail Size (bytes)","მინიატურა ზომა (ბაიტი)"
"Small Image Size (bytes)","მცირე გამოსახულების ზომა (ბაიტი)"
"PHP Condition","PHP მდგომარეობა"
"Base Price","ბაზა ფასი"
"Final Price","საბოლოო ფასი"
"Special Price","განსაკუთრებული ფასი"
"Open Chooser","ღია შერჩევა"
"Referred: Group","მოხსენიებული: ჯგუფი"
"Referred: Lifetime Sales","მოხსენიებული: ცხოვრების გაყიდვები"
"Referred: Number of Orders","მითითებულია: ბრძანებების რაოდენობა"
"Referred: Is subscriber of newsletter","მოხსენიებული: არის საინფორმაციო ბიულეტენის აბონენტი"
"Referred: Number of reviews","მოხსენიებული: მიმოხილვების რაოდენობა"
"Please specify a website.","გთხოვთ მიუთითოთ ნახვა."
"Please specify a customer email.","გთხოვთ მიუთითოთ მომხმარებლის ელ."
"We found an invalid value in a website column.","ვებ სვეტში ჩვენ არასწორი ღირებულება აღმოაჩინეს."
"Please enter a valid email.","გთხოვთ, შეიყვანოთ სწორი ელ."
"Please make sure attribute ""%1"" is not empty.","გთხოვთ, დარწმუნდეთ, რომ ატრიბუტი &quot;%1&quot; არ არის ცარიელი."
"We can't find a customer who matches this email and website code.","ჩვენ ვერ პოულობთ კლიენტს, რომელიც შეესაბამება ამ ელ-ფოსტასა და ვებ-გვერდს."
"-- Please Select --","- გთხოვთ აირჩიოთ -"
"Discount Used","ფასდაკლება გამოიყენება"
"Custom Product Attributes","საბაჟო პროდუქტის ატრიბუტები"
"- Disable these emails -","- გამორთე ამ ელ -"
"Give X points to customer","მიეცით მომხმარებლის X რაოდენობა"
"Give X points for every spent Y","მიეცით X რაოდენობა თითოეული გატარებული Y"
"Give X points for every Z quantity","მიეცით X რაოდენობა ყველა Z- ს რაოდენობით"
"For every Y, give X points","ყოველ Y- ზე, მისცეს X ქულა"
Pending,მიმდინარეობს
Approved,დამტკიცებულია
Discarded,უგულვებელყოფილია
"You do not have permissions to create transactions. Please contact your site administrator.","თქვენ არ გაქვთ ნებართვა გარიგებების შესაქმნელად. გთხოვთ, დაუკავშირდეთ თქვენს ადმინისტრატორს."
"%1 has been added.","დამატებულია %1."
"%1 has been deducted.","%1 დაიბლოკა."
"You earned %1 and spent %2 for this order.","ამ ორდერისთვის ______ თქვენ დაიმსახურა ________."
"You spent %1 for this order.","ამ წესრიგისთვის _____"
"You earned %1 for this order.","ამ ბრძანებისათვის _____"
"Earned points will be enrolled to your account after we finish processing your order.","გაიზარდა ქულა ჩაირიცხება თქვენს ანგარიშზე, დამთავრების შემდგომ დამუშავების დასრულების შემდეგ."
"Rewards error occurred on the server. Please try to place the order again.","სერვერზე დაჯილდოების შეცდომა მოხდა. გთხოვთ, კვლავ შეუკვეთოთ წესრიგი."
"Earn at least %1 %2","მიიღე მინიმუმ %1 %2"
"Reward Points","საჩუქრების ქულები"
Edit,რედაქტირება
Back,უკან
Delete,წაშლა
"Are you sure you want to do this?","ნამდვილად გსურთ ამის გაკეთება?"
Reset,გადატვირთვა
"Save and Continue Edit","შენახვა და გაგრძელება რედაქტირება"
Save,გადარჩენა
"Delete the record with ID ""${ $.$data.transaction_id }""","ჩანაწერის წაშლა ID &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","დარწმუნებული ხართ, რომ არ წაიშლება ჩანაწერი ID &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","ქულების შეჯამება"
"To unsubscribe from points expiring notification click %1","შეტყობინებების გაუქმების გამოცხადების შეტყობინებების გაუქმების მიზნით %1_"
"You have <b>%1</b> in your account.","თქვენს ანგარიშზე <b>_____</b> გაქვთ."
"Transactions History","გარიგებების ისტორია"
ID,ID
Comment,კომენტარი
Points,ქულები
Created,შექმნილია
Expires,იწურება
"There are no Transactions.","არ არსებობს ტრანზაქციები."
"Pending Transactions","მიმდინარე გარიგებები"
Order,დაალაგე
Status,სტატუსი
"Your points balance will expire in %1 days.","თქვენი ქულების ბალანსი _____ დღის ვადაში იწურება."
"Visit My Reward Points Section","ეწვიეთ ჩემს საჩუქრების პუნქტებს"
"Login to earn %1 for sharing!","გაწევრიანდით შემოსვლისთვის %1"
"Earn %1 for sharing!","გაიარეთ %1 გაზიარებისთვის!"
"Like this page and earn %1","მსგავსი გვერდი და მიიღეთ %1"
Share,გაზიარება
"Share this page and earn %1","გააზიარეთ ეს გვერდი და მიიღეთ %1"
"Plus this page and earn %1","Plus ეს გვერდი და მიიღეთ %1"
"Pin this page and earn %1","დააინსტალირეთ ეს გვერდი და მიიღეთ %1"
"Refer Friends","მეგობრების ჩვენება"
"Refer friend and earn %1. More friends more points!","იხილეთ მეგობრობა და მიიღეთ %1. უფრო მეტი მეგობარი მეტი ქულა!"
Tweet,Tweet
"Tweet this page and earn %1","ამ გვერდის გადახდა და მიიღეთ %1"
"Check this out!","შეამოწმეთ ეს!"
"You have <b>%1</b> available.","თქვენ გაქვთ <b>%1</b> ხელმისაწვდომი."
"Enter amount of points to spend:","შეიტანეთ თანხის რაოდენობა:"
"Use maximum %1","გამოიყენეთ მაქსიმალური %1"
"Apply Points","გამოიყენეთ ქულები"
Apply,მიმართვა
"Cancel Points","უარი თქვა ქულები"
Cancel,გაუქმება
"Use %1","გამოიყენეთ %1"
"You Earn",იშოვე
"You Spend","შენ დახარჯე"
"Discount amount","ფასდაკლების რაოდენობა"
"Use Reward Points","გამოიყენეთ საჩუქრების ქულები"
"This is a required field","ეს აუცილებელი ველია"
"Subscription to Points Expiration Notification","გამოწერა პუნქტი ვადის გასვლის შესახებ"
"Earning %1","შემოსავალი %1"
"Buy to earn %1","შეიძინეთ შეიძინეთ %1"
"You'll earn %1 for this item","ამ ელემენტისთვის თქვენ მიიღებთ %1"
"Share with Friends","მეგობრებთან გაზიარება"
"Share the referral link in the social media and get points!","გაუზიარეთ რეფერალური ბმული სოციალურ მედიაში და მიიღეთ ქულები!"
"Tweet on Twitter","Tweet on Twitter"
"Your referral link:","თქვენი რეფერალური ბმული:"
"Send Invitations","პირადი მოსაწვევები"
"Enter contacts of your friends to invite them.","შეიყვანეთ თქვენი მეგობრების კონტაქტები მათ მოსაწვევად."
Name,სახელი
Message,შეტყობინება
Referrals,რეფერალები
"Referred by link","მითითებულია ბმულით"
"There are no Referrals","არ არსებობს რეფერალები"
"You have","შენ გაქვს"
available.,ხელმისაწვდომი.
"Use maximum","მაქსიმალური გამოყენება"
"Enter amount of points to spend","შეიტანეთ თანხის რაოდენობა"
Use,გამოიყენეთ
"Notification Rules' messages","შეტყობინების წესების შეტყობინებები"
Template,თარგი
"Notification Rule Template","შეტყობინების წესის თარგი"
"My Referrals","ჩემი რეფერალები"
"Referrals List","რეფერენდების სია"
today,დღეს
ago,წინ
"Cannot delete transaction with id %1","გარიგების წაშლა id%1- თან ერთად"
"Expires in",იწურება
"How to earn","როგორ უნდა მიიღოთ"
"Spend points and receive discounts","გაატარეთ ქუდები და მიიღეთ ფასდაკლება"
"Total number of referred friends: %1","მოწვეული მეგობრების საერთო რაოდენობა: %1"
"Or you may send this link in your messages to anyone","ან შეგიძლიათ ეს ბმული თქვენს შეტყობინებებში ვინმესთვის გაგზავნოს"
"Your Transactions","შენი ტრანზაქციები"
"My Points","ჩემი ქულები"
"Share & Save","გაზიარება და შენახვა"
History,ისტორია
"in %1 %2","%1 %2"
"in %1 days","%1 დღის განმავლობაში"
"in %1 day","_____ დღეს"
"%1 %2 ago","%1%2 წინ"
"%1 days ago","%1 დღის წინ"
"%1 day ago","%1 დღის წინ"
"How to earn points","როგორ მივიღოთ რაოდენობა"
"You have invited %1 friends","თქვენ მოგიწვიეთ %1 მეგობრები"
"Share the referral link in the social media","გაუზიარეთ რეფერალური ბმული სოციალურ მედიაში"
"You may send this link in your messages to anyone","თქვენ შეგიძლიათ ამ ბმული თქვენს შეტყობინებებში გაუგზავნოთ ვინმეს"
"Page not found.","Გვერდი არ მოიძებნა."
"%1 were applied.","%1 იქნა გამოყენებული."
"Customer tier up","კლიენტი იწურება"
"Customer tier down","მომხმარებელთა იარუსი"
"sum of earned points","მიღებული ქულების ჯამი"
"sum of spent %1","დახარჯული %1__"
"Customer does not assign to website","კლიენტი არ ანიჭებს ვებ-გვერდს"
"Payment Method","Გადახდის საშუალება"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","ეს იარუსია %1 მომხმარებელს. გთხოვთ, დაარეგისტრიროთ მომხმარებელი (ებ) ის სხვა საფეხურზე."
"You Spend Points","თქვენ გაატარეთ ქულები"
"Spend Amount","გაატარეთ თანხა"
"Spend Minimum Points","გაატარეთ მინიმალური რაოდენობა"
"Spend Maximum Points","მაქსიმალური ქულა გაატარეთ"
"Cannot delete tier with id %1","Id%1- თან იარლიყება"
"Unable to find tier for customer ""%1"". Please check tier configuration.","&quot;______&quot; მომხმარებელს ვერ იძებნება. გთხოვთ შეამოწმოთ მრიცხველის კონფიგურაცია."
"Customer Earning Style","მომხმარებელთა შემოსავლის სტილი"
"Number of Points (X)","პუნქტების რაოდენობა (X)"
"Step (Y)","ნაბიჯი (Y)"
"In base currency","საბაზო ვალუტაში"
"Quantity Step (Z)","რაოდენობა ნაბიჯი (Z)"
"Maximum number of earned points for one customer per day","ერთ მომხმარებელზე ყოველდღიურად მიღებული ქულების მაქსიმალური რაოდენობა"
"Set 0 to disable limit","შეიყვანეთ 0 -ის გამორთვა ლიმიტი"
"Do not change","Არ შეცვალო"
"Assign customer to Group","დააკისროს მომხმარებელს ჯგუფი"
"Earn Maximum","იშოვე მაქსიმალური"
"You can enter amount of points or percent. Leave empty to disable.","შეგიძლიათ შეიტანოთ რაოდენობა ან პროცენტი. დატოვეთ ცარიელი გამორთვა."
"Maximum Distributed Points","მაქსიმალური განაწილებული ქულები"
Tiers,მესამე
"%1 for each $%2","_____ თითოეული $ %2"
"All Groups","ყველა ჯგუფი"
Actions,მოქმედებები
"Points spending style","ქულების დახარჯვის სტილი"
"For each spent X points","თითოეული დახარჯული X ქულა"
"Number of points.","პუნქტების რაოდენობა."
"Customer receive Y discount","კლიენტი მიიღებს Y ფასდაკლებას"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","თქვენ შეგიძლიათ შეიტანოთ თანხა საბაზისო ვალუტაში ან პროცენტით. მაგალითად 100 ან 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","შეგიძლიათ შეიტანოთ რაოდენობა ან პროცენტი. მაგალითად 100 ან 5%. დატოვეთ ცარიელი გამორთვა."
"Spend minimum","გაატარეთ მინიმუმი"
"Spend maximum","მაქსიმალური დახარჯვა"
"Minimum sum of spent %1","გატარებული მინიმალური თანხა _____"
"Minimum points number to reach the tier","მინიმალური რაოდენობა რიცხვი მიაღწევს იარუსი"
"Delete the record with ID ""%1""","ჩანაწერის წაშლა ID &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","დარწმუნებული ხართ, რომ არ წაიშლება ჩანაწერი ID &quot;%1&quot;?"
"Anonymous visitor","ანონიმური სტუმარი"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","თქვენი ამჟამინდელი იარუსი არის <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","იშოვეთ <b>%1</b> <a class=""open-popup""><b>________</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","გაატარეთ <b>%1_</b> <a class=""open-popup""><b>______</b></a>"
"in 1 day","1 დღეში"
"1 day ago","1 დღის წინ"
