"My Reward Points","Ödül Puanlarım"
"Reward Points","Ödül Puanları"
Edit,Düzenle
Back,Geri
Delete,Silmek
"Are you sure you want to do this?","Bunu yapmak istediğine emin misin?"
Reset,Reset
"Save and Continue Edit","Kaydet ve Düzenle&#39;yi Düzenle"
Save,"Kayıt etmek"
"Delete the record with ID ""${ $.$data.transaction_id }""","Kaydı &quot;$ {$. $ Data.transaction_id}&quot; kimliğiyle sil"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Kaydı &quot;$ {$. $ Data.transaction_id}&quot; kimliğiyle silmediğinizden emin misiniz?"
"Points Summary","Puan Özeti"
"To unsubscribe from points expiring notification click %1","Bildirimi sona eren noktalardan çıkmak için tıklayın %1"
"You have <b>%1</b> in your account.","Hesabınızda <b>%1</b> var."
"Transactions History","İşlem Geçmişi"
ID,İD
Comment,"Yorum Yap"
Points,Makas
Created,Düzenlendi
Expires,"Süre sonu"
"There are no Transactions.","İşlem yok."
"Pending Transactions","Bekleyen işlemler"
Order,Sipariş
Status,Durum
"Your points balance will expire in %1 days.","Puan bakiyeniz, %1 gün içinde sona erecek."
"Visit My Reward Points Section","Ödül Puanlarım Bölümümü Ziyaret Edin"
"Login to earn %1 for sharing!","Paylaşmak için %1 kazanmak için giriş yapın!"
"Earn %1 for sharing!","Paylaşım için %1 kazanın!"
"Like this page and earn %1","Bu sayfayı beğenin ve kazanın %1"
Share,Pay
"Share this page and earn %1","Bu sayfayı paylaş ve %1 kazan"
"Plus this page and earn %1","Ayrıca bu sayfa ve %1 kazanın"
"Pin this page and earn %1","Bu sayfayı sabitleyin ve %1 kazanın"
"Refer Friends","Arkadaşlar bakın"
"Refer friend and earn %1. More friends more points!","Arkadaşına bakın ve %1 kazanın. Daha fazla arkadaş daha fazla puan!"
Tweet,Cıvıldamak
"Tweet this page and earn %1","Bu sayfayı tweet&#39;leyin ve %1 kazanın"
"Check this out!","Şuna bak!"
"You have <b>%1</b> available.","Mevcut <b>%1</b> var."
"Enter amount of points to spend:","Harcayacağınız puan miktarını girin:"
"Use maximum %1","Maksimum %1 kullanın"
"Apply Points","Puanı Uygula"
Apply,Uygulamak
"Cancel Points","Puanları İptal Et"
Cancel,"İptal etmek"
"Use %1","1&#39;i kullan__"
"You Earn",Kazanırsın
"You Spend",Harcadın
"Discount amount","İndirim tutarı"
"Use Reward Points","Ödül Puanlarını Kullan"
"This is a required field","Bu gerekli bir alandır"
"Subscription to Points Expiration Notification","Puan Son Kullanma Bildirimine Abonelik"
"Earning %1","Kazanma %1"
"Buy to earn %1","%1 kazanmak için satın al"
"You'll earn %1 for this item","Bu öğe için %1 kazanacaksınız"
"Share with Friends","Arkadaşlarınla ​​paylaş"
"Share the referral link in the social media and get points!","Sosyal medyada referans bağlantısını paylaşın ve puan kazanın!"
"Tweet on Twitter","Twitter&#39;da Tweetle"
"Your referral link:","Tavsiye bağlantınız:"
"Send Invitations","Davetiye Gönder"
"Enter contacts of your friends to invite them.","Davet etmek için arkadaşlarınızın kişilerini girin."
Name,Isim
Message,Mesaj
Referrals,Tavsiye
"Referred by link","Bağlantıyla isimlendirildi"
"There are no Referrals","Yönlendirmeler yok"
"You have",Var
available.,mevcut.
"Use maximum","Maksimum kullan"
"Enter amount of points to spend","Harcayacağınız puan miktarını girin"
Use,Kullanım
"Notification Rules' messages","Bildirim Kuralları mesajları"
Template,Şablon
"Notification Rule Template","Bildirim Kuralı Şablonu"
"My Referrals","Benim referansım"
"Referrals List","Tavsiyeler Listesi"
today,bugün
ago,önce
"Cannot delete transaction with id %1","Id %1 ile işlem silinemiyor"
"Expires in","İçinde sona eriyor"
"How to earn","Nasıl kazanılır"
"Spend points and receive discounts","Puanları harcayın ve indirimlerden yararlanın"
"Total number of referred friends: %1","Toplam arkadaş sayısı: %1"
"Or you may send this link in your messages to anyone","Veya bu bağlantıyı mesajlarınızda herkese gönderebilirsiniz"
"Your Transactions",İşlemleriniz
"My Points",Puanlarım
"Share & Save","Kaydet Paylaş"
History,Tarihçe
"in %1 %2","%1 %2"
"in %1 days","%1 gün içinde"
"in %1 day","%1 günde"
"%1 %2 ago","%1 %2 önce"
"%1 days ago","%1 gün önce"
"%1 day ago","__1 gün önce"
"How to earn points","Puan kazanmak nasıl"
"You have invited %1 friends","%1 arkadaşınızı davet ettiniz"
"Share the referral link in the social media","Sosyal medyada referans bağlantısını paylaşın"
"You may send this link in your messages to anyone","Bu bağlantıyı mesajlarınızda herkese gönderebilirsiniz."
"Page not found.","Sayfa bulunamadı."
"Customer tier up","Müşteri katmanlı"
"Customer tier down","Müşteri katmanı"
"sum of earned points","kazanılan puanların toplamı"
"sum of spent %1","harcanan toplam tutar %1"
"Customer does not assign to website","Müşteri web sitesine atamadı"
"Payment Method","Ödeme şekli"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Bu katman, %1 müşteriye (ler) atar. Lütfen müşteriyi / müşterileri diğer katmana yeniden atayın."
"You Spend Points","Puan Harcıyorsunuz"
"Spend Amount","Harcama Tutarı"
"Spend Minimum Points","Minimum Puan Harcama"
"Spend Maximum Points","Maksimum Puan Harca"
"Cannot delete tier with id %1","__Er__ ile katman silinemiyor"
"Unable to find tier for customer ""%1"". Please check tier configuration.","&quot;%1&quot; müşterisi için katman bulunamadı. Lütfen katman yapılandırmasını kontrol edin."
"Customer Earning Style","Müşteri Kazanç Tarzı"
"Number of Points (X)","Puan Sayısı (X)"
"Step (Y)","Adım (Y)"
"In base currency","Temel para biriminde"
"Quantity Step (Z)","Miktar Adım (Z)"
"Maximum number of earned points for one customer per day","Günde bir müşteri için kazanılan maksimum puan sayısı"
"Set 0 to disable limit","Limiti devre dışı bırakmak için 0&#39;ı ayarlayın"
"Do not change",Değiştirme
"Assign customer to Group","Müşteriyi Gruba ata"
"Earn Maximum","Maksimum Kazan"
"You can enter amount of points or percent. Leave empty to disable.","Puan veya yüzde girebilirsiniz. Devre dışı bırakmak için boş bırakın."
"Maximum Distributed Points","Maksimum Dağıtılmış Nokta"
Tiers,Üçüncü
"%1 for each $%2","Her $ %2 için %1"
"All Groups","Tüm gruplar"
Actions,Eylemler
"Points spending style","Harcama stili puan"
"For each spent X points","Her harcanan X puanı için"
"Number of points.","Puan sayısı."
"Customer receive Y discount","Müşteri Y indirim alır"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Baz döviz cinsinden veya yüzde cinsinden miktar girebilirsiniz. örneğin% 100 veya% 5."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Puan veya yüzde girebilirsiniz. örneğin% 100 veya% 5. Devre dışı bırakmak için boş bırakın."
"Spend minimum","Minimum harcama"
"Spend maximum","Maksimum harca"
"Minimum sum of spent %1","Minimum harcanan toplam tutar %1"
"Minimum points number to reach the tier","Katmana ulaşmak için minimum puan sayısı"
"Delete the record with ID ""%1""","Kaydı &quot;%1&quot; kimliğiyle sil"
"Are you sure you wan't to delete the record with ID ""%1""?","Kaydı &quot;%1&quot; kimliğiyle silmediğinizden emin misiniz?"
"Anonymous visitor","Anonim ziyaretçi"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Mevcut katmanınız <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%2</b> sayfasına gitmek için <a class=""open-popup""><b>%1 kazanın</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","<b>%1</b> kazanmak için <a class=""open-popup""><b>%1 harcayın</b></a>"
"in 1 day","1 gün içinde"
"1 day ago","1 gün önce"
