"Force to apply styles","Force to apply styles"
"Social Networks Settings","Social Networks Settings"
"Facebook App ID","Facebook App ID"
"Show Facebook Like button","Show Facebook Like button"
"Show Facebook Share button","Show Facebook Share button"
"Show Twitter Follow button","Show Twitter Follow button"
"Show Google Plus +1 button","Show Google Plus +1 button"
"Show Pinterest pin button","Show Pinterest pin button"
"Show AddThis","Show AddThis"
"AddThis Code","AddThis Code"
"Notification Rules' messages","Notification Rules' messages"
Template,Template
"Notification Rule Template","Notification Rule Template"
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Web Site","Web Site"
"General Information","General Information"
"Rule Name","Rule Name"
Type,Type
"Is Active","Is Active"
"Active From","Active From"
"Active To","Active To"
Websites,Websites
"Stop further rules processing","Stop further rules processing"
Priority,Priority
"Arranged in the ascending order. 0 is the highest.","Arranged in the ascending order. 0 is the highest."
"Number of Inactive Days","Number of Inactive Days"
Actions,Actions
"Number of points to give (X)","Number of points to give (X)"
"Step (Y)","Step (Y)"
"In base currency","In base currency"
"Quantity Step (Z)","Quantity Step (Z)"
"Maximum number of earned points for one customer per day","Maximum number of earned points for one customer per day"
"Assign customer to Group","Assign customer to Group"
Notification,Notification
"Message for customer notification email","Message for customer notification email"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        Leave empty to use default notification email.<br/>
                        
                    ","You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        Leave empty to use default notification email.<br/>
                        
                    "
"Customer Earning Style","Customer Earning Style"
"Number of Points (X)","Number of Points (X)"
"Earn Maximum","Earn Maximum"
"Add New","Add New"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Change status","Change status"
Enable,Enable
Disable,Disable
"Number of points to earn","Number of points to earn"
Website,Website
"Maximum Distributed Points","Maximum Distributed Points"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        
                    ","You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        
                    "
"Show message on","Show message on"
"Affiliate Customer","Affiliate Customer"
"Referral Customer","Referral Customer"
"Referral Email","Referral Email"
"Referral Name","Referral Name"
Store,Store
"For each spent X points","For each spent X points"
"Customer receive Y discount","Customer receive Y discount"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","You can enter amount in base currency or percent. e.g. 100 or 5%."
"Spend minimum","Spend minimum"
"Spend maximum","Spend maximum"
Discount,Discount
"Points Balance Change","Points Balance Change"
"You can use the following variables:<br>
                        {{var customer.name}} - customer name<br>
                        {{store url=""""}} - store URL<br>
                        {{var store.getFrontendName()}} - store name<br>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br>
                        Leave empty to use default notification email.<br>
                        
                    ","You can use the following variables:<br>
                        {{var customer.name}} - customer name<br>
                        {{store url=""""}} - store URL<br>
                        {{var store.getFrontendName()}} - store name<br>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br>
                        Leave empty to use default notification email.<br>
                        
                    "
CSV,CSV
"Excel XML","Excel XML"
"Referrals List","Referrals List"
"today","today"
"ago","ago"
"in %1 %2","in %1 days"
"in %1 days","in %1 days"
"in %1 day","in %1 days"
"%1 %2 ago","%1 days ago"
"%1 days ago","%1 days ago"
"%1 day ago","%1 day ago"
Expires,Expires
"How to earn points","How to earn points"
"You have invited %1 friends","You have invited %1 friends"
"Share the referral link in the social media","Share the referral link in the social media"
"Check this out!","Check this out!"
"Tweet on Twitter","Tweet on Twitter"
"You may send this link in your messages to anyone","You may send this link in your messages to anyone"
"Page not found.","Page not found."
"Customer tier up","Customer tier up"
"Customer tier down","Customer tier down"
"sum of earned points","sum of earned points"
"sum of spent %1","sum of spent %1"
"Customer does not assign to website","Customer does not assign to website"
"Payment Method","Payment Method"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","This tier is assign to %1 customer(s). Please reassign customer(s) to other tier."
"You Spend Points","You Spend Points"
"Spend Amount","Spend Amount"
"Spend Minimum Points","Spend Minimum Points"
"Spend Maximum Points","Spend Maximum Points"
"Cannot delete tier with id %1","Cannot delete tier with id %1"
"Cannot delete transaction with id %1","Cannot delete transaction with id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Unable to find tier for customer ""%1"". Please check tier configuration."
"Set 0 to disable limit","Set 0 to disable limit"
"Do not change","Do not change"
"You can enter amount of points or percent. Leave empty to disable.","You can enter amount of points or percent. Leave empty to disable."
Tiers,Tiers
"%1 for each $%2","%1 for each $%2"
"All Groups","All Groups"
"Points spending style","Points spending style"
"Number of points.","Number of points."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable."
"Minimum sum of spent %1","Minimum sum of spent %1"
"Minimum points number to reach the tier","Minimum points number to reach the tier"
"Delete the record with ID ""%1""","Delete the record with ID ""%1"""
"Are you sure you wan't to delete the record with ID ""%1""?","Are you sure you wan't to delete the record with ID ""%1""?"
"Spend points and receive discounts","Spend points and receive discounts"
"Anonymous visitor","Anonymous visitor"
"Or you may send this link in your messages to anyone","Or you may send this link in your messages to anyone"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>"
"Your Transactions","Your Transactions"
"My Points","My Points"
"Share & Save","Share & Save"
"My Referrals","My Referrals"
History,History
