"My Reward Points","Moje nagradne bodove"
Tweet,Cvrkut
"Tweet this page and earn %1","Tweet ovu stranicu i zaradite %1"
"Check this out!","Pogledaj ovo!"
"You have <b>%1</b> available.","Imate <b>%1</b> dostupan."
"Enter amount of points to spend:","Unesite iznos bodova koji trebate potrošiti:"
"Use maximum %1","Koristite maksimalno %1"
"Apply Points","Primijeni bodove"
Apply,Primijeniti
"Cancel Points","Odustani od bodova"
Cancel,Otkazati
"Use %1","Upotrijebi %1"
"You Earn",Zaradite
"You Spend",Provedite
"Discount amount","Iznos popusta"
"Use Reward Points","Koristite nagradne bodove"
"This is a required field","Ovo je obavezno polje"
"Subscription to Points Expiration Notification","Pretplata na Obavijest o isteku bodova"
"Earning %1","Zarađivanje %1"
"Buy to earn %1","Kupite za zaradu %1"
"You'll earn %1 for this item","Zaradit ćete %1 za ovu stavku"
"Share with Friends","Podijeli sa prijateljima"
"Share the referral link in the social media and get points!","Dijelite preporuku u društvenim medijima i dobijte bodove!"
"Tweet on Twitter","Tweet na Twitteru"
"Your referral link:","Vaša veza preporuke:"
"Send Invitations","Pošalji pozivnice"
"Enter contacts of your friends to invite them.","Unesite kontakte svojih prijatelja kako biste ih pozvali."
Name,Ime
Message,Poruka
Referrals,Preporuke
"Referred by link","Navedeni su vezom"
"There are no Referrals","Nema preporuka"
"You have",Imaš
available.,dostupno.
"Use maximum","Koristite maksimum"
"Enter amount of points to spend","Unesite broj bodova koje ćete potrošiti"
Use,Koristiti
"Notification Rules' messages","Poruke pravila obavijesti"
Template,Predložak
"Notification Rule Template","Predložak pravila obavijesti"
"My Referrals","Moje preporuke"
"Referrals List","Popis preporuka"
today,danas
ago,prije
"Cannot delete transaction with id %1","Nije moguće izbrisati transakciju s id %1"
"Expires in",Istječe
"How to earn","Kako zaraditi"
"Spend points and receive discounts","Provedite bodove i primajte popuste"
"Total number of referred friends: %1","Ukupan broj upućenih prijatelja: %1"
"Or you may send this link in your messages to anyone","Ili biste ovu poruku mogli poslati u svoje poruke svima"
"Your Transactions","Vaše transakcije"
"My Points","Moje točke"
"Share & Save","Dijeljenje i spremanje"
History,Povijest
"in %1 %2","u %1 %2"
"in %1 days","za %1 dana"
"in %1 day","u %1 danu"
"%1 %2 ago","Prije %1 __"
"%1 days ago","Prije %1 dana"
"%1 day ago","Prije __1"
"How to earn points","Kako zaraditi bodove"
"You have invited %1 friends","Pozvali ste %1 prijatelja"
"Share the referral link in the social media","Dijelite preporuku u društvenim medijima"
"You may send this link in your messages to anyone","Ovu vezu možete slati u porukama svatko"
"Page not found.","Stranica nije pronađena."
"Customer tier up","Stupanj kupca"
"Customer tier down","Ocjena dolje"
"sum of earned points","zbroj zaradenih bodova"
"sum of spent %1","zbroj potrošenih %1"
"Customer does not assign to website","Korisnik ne dodjeljuje web stranici"
"Payment Method","Način plaćanja"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","Ovaj stupac dodjeljuje se korisnicima %1. Ponovno dodijelite korisnike na drugu razinu."
"You Spend Points","Trošite bodove"
"Spend Amount","Troši iznos"
"Spend Minimum Points","Trošenje minimalnih bodova"
"Spend Maximum Points","Provedite maksimalne bodove"
"Cannot delete tier with id %1","Nije moguće izbrisati razinu s id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Nije moguće pronaći razinu za kupca &quot;%1&quot;. Provjerite skupnu konfiguraciju."
"Customer Earning Style","Stil za stjecanje klijenta"
"Number of Points (X)","Broj bodova (X)"
"Step (Y)","Korak (Y)"
"In base currency","U osnovnoj valuti"
"Quantity Step (Z)","Količina koraka (Z)"
"Maximum number of earned points for one customer per day","Maksimalni broj zaradenih bodova za jednog kupca po danu"
"Set 0 to disable limit","Postavite 0 da biste onemogućili ograničenje"
"Do not change","Nemoj mijenjati"
"Assign customer to Group","Dodijeli kupca grupi"
"Earn Maximum","Zaradite maksimum"
"You can enter amount of points or percent. Leave empty to disable.","Možete unijeti iznos bodova ili postotak. Ostavite prazno da biste ga onemogućili."
"Maximum Distributed Points","Maksimalne raspoređene točke"
Tiers,Treći
"%1 for each $%2","%1 za svaki $ %2"
"All Groups","Sve grupe"
Actions,Akcije
"Points spending style","Stanje potrošnje bodova"
"For each spent X points","Za svaku potrošenu X točku"
"Number of points.","Broj bodova."
"Customer receive Y discount","Korisnik prima Y popust"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","Možete unijeti iznos u osnovnoj valuti ili postotku. npr. 100 ili 5%."
"You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.","Možete unijeti iznos bodova ili postotak. npr. 100 ili 5%. Ostavite prazno da biste ga onemogućili."
"Spend minimum","Provedite minimalno"
"Spend maximum","Provedite maksimum"
"Minimum sum of spent %1","Minimalni zbroj potrošenih %1"
"Minimum points number to reach the tier","Minimalni broj bodova do razine"
"Delete the record with ID ""%1""","Brisanje zapisa s ID-om &quot;%1&quot;"
"Are you sure you wan't to delete the record with ID ""%1""?","Jeste li sigurni da ne želite izbrisati zapis s ID-om &quot;%1&quot;?"
"Anonymous visitor","Anonimni posjetitelj"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Vaša trenutačna razina je <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Zaradite <b>%1</b> da biste došli do <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Provedite <b>%1</b> da biste došli do <a class=""open-popup""><b>%2</b></a>"
"in 1 day","u 1 dan"
"1 day ago","Prije 1 dan"
